"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.5933437438766,4276.32984586526,642
"2002/2003",2003,120,120,100,76.9817170246582,1616.99872004063,941
"2003/2004",2004,120,120,100,87.0583638097344,2430.65490736821,429
"2004/2005",2005,121,121,100,85.2756611096992,5128.2898157617,370
"2005/2006",2006,120,120,100,81.7337422152088,3216.30577124341,552
"2006/2007",2007,120,120,100,82.2037761070475,3227.12783206947,599
"2007/2008",2008,120,120,100,75.8002477875347,1242.25734043744,821
"2008/2009",2009,121,121,100,80.4164459679942,5044.84000662435,467
"2009/2010",2010,120,120,100,86.6512080725997,2535.85589763359,381
"2010/2011",2011,120,120,100,81.0733704788925,2382.33647942124,484
"2011/2012",2012,120,120,100,72.7874039053572,3017.60849444009,967
"2012/2013",2013,121,121,100,84.1990640771169,2587.59485589038,477
"2013/2014",2014,120,120,100,71.9273549060997,2473.66450452874,1157
"2014/2015",2015,120,120,100,79.7951964925342,3602.32006969023,525
"2015/2016",2016,120,120,100,78.3388265112585,3282.02486334043,727
"2016/2017",2017,121,121,100,77.9186850119008,4381.72846954595,608
"2017/2018",2018,120,120,100,74.5147252388961,2633.20155133819,860
"2018/2019",2019,120,120,100,80.8896857525183,2518.64641175768,758
"2019/2020",2020,120,120,100,84.151208948218,4681.92206518818,483
"2020/2021",2021,121,121,100,80.0647560959601,1835.25844498957,812
"2021/2022",2022,120,120,100,71.0253908365485,4775.15613682102,801
"2022/2023",2023,120,120,100,83.3209920415957,2576.62701907218,522
"2023/2024",2024,120,120,100,84.4780474902191,5097.8042448971,246
"2024/2025",2025,121,121,100,83.7059623458999,2360.47717602435,485
"2025/2026",2026,120,120,100,68.2071947212203,1846.81934494828,1296
"2026/2027",2027,120,120,100,86.7146173260171,3717.87780499598,399
"2027/2028",2028,120,120,100,75.3522296566907,1046.68341573258,960
"2028/2029",2029,121,121,100,80.2198299567458,4013.00124049629,596
"2029/2030",2030,120,120,100,78.2434809219462,3278.0170933723,809
"2030/2031",2031,120,120,100,84.1574675290271,2758.01205555908,581
"2031/2032",2032,120,120,100,86.0477649926406,3768.50993371848,427
"2032/2033",2033,121,121,100,76.781544542866,1666.95010857005,949
