"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,75.8239551827216,2371.52570110622,853
"2002/2003",2003,120,120,100,71.2025575543256,919.148432317423,1228
"2003/2004",2004,120,120,100,81.4785179510377,1211.92985911321,729
"2004/2005",2005,121,121,100,83.0479987786525,2929.14504193197,584
"2005/2006",2006,120,120,100,76.3121646778634,1592.37105466585,843
"2006/2007",2007,120,120,100,76.8088315898942,1607.03243556205,814
"2007/2008",2008,120,120,100,67.1765870824943,595.285761442618,1218
"2008/2009",2009,121,121,100,80.2512906654888,2885.37084783422,693
"2009/2010",2010,120,120,100,80.3780868330423,1178.10477852472,692
"2010/2011",2011,120,120,100,76.0423073301126,1066.56856200995,763
"2011/2012",2012,120,120,100,67.6074693018245,1637.34653677454,1242
"2012/2013",2013,121,121,100,79.6409246853395,1285.20343529573,837
"2013/2014",2014,120,120,100,66.2803186903013,1093.80483887868,1425
"2014/2015",2015,120,120,100,75.2912704174114,1961.03799450235,788
"2015/2016",2016,120,120,100,75.7115911007768,1540.64672075654,1006
"2016/2017",2017,121,121,100,78.1818572518755,2635.91649266891,925
"2017/2018",2018,120,120,100,68.0750229284999,1296.6286902728,1167
"2018/2019",2019,120,120,100,73.7137412263282,1220.29514483735,1022
"2019/2020",2020,120,120,100,81.968796974857,2644.40769827366,634
"2020/2021",2021,121,121,100,73.6482790960904,784.239386840258,1161
"2021/2022",2022,120,120,100,69.533416844471,2832.35693907458,1091
"2022/2023",2023,120,120,100,75.0342907228487,1124.68538318877,843
"2023/2024",2024,120,120,100,81.6115458255367,3110.70280859806,520
"2024/2025",2025,121,121,100,77.4013386275569,1365.42038210039,915
"2025/2026",2026,120,120,100,58.5984635343157,1083.08779255557,1584
"2026/2027",2027,120,120,100,80.7015811308834,2028.78624835843,686
"2027/2028",2028,120,120,100,65.6692328965819,342.057856855216,1405
"2028/2029",2029,121,121,100,76.8176251812502,2062.4799323997,889
"2029/2030",2030,120,120,100,74.3568815181434,2010.87483276916,1063
"2030/2031",2031,120,120,100,77.8695429889103,1694.94395674625,885
"2031/2032",2032,120,120,100,83.325483338067,1833.34385394864,628
"2032/2033",2033,121,121,100,67.8613201503458,772.636382497614,1343
"2033/2034",2034,120,120,100,68.9161901872994,1685.37019559648,1121
"2034/2035",2035,120,120,100,70.7568815568093,2405.43296862207,1108
"2035/2036",2036,120,120,100,75.0013199257237,1455.98902335204,953
"2036/2037",2037,121,121,100,71.8420769712584,989.811615586514,1244
"2037/2038",2038,120,120,100,77.4910172090767,1567.48863962898,926
"2038/2039",2039,120,120,100,84.3466254916675,2331.3383266374,530
"2039/2040",2040,120,120,100,79.46302488336,1924.79485767917,746
"2040/2041",2041,121,121,100,80.8960717416257,1569.07259611064,740
"2041/2042",2042,120,120,100,82.1472360529688,2093.55040725553,579
"2042/2043",2043,120,120,100,71.7088402680565,790.522800935898,1324
"2043/2044",2044,120,120,100,81.9267237031208,1330.7737576752,625
"2044/2045",2045,121,121,100,69.7638798163116,573.796761979349,1260
"2045/2046",2046,120,120,100,72.9934714890469,2196.26752331667,963
"2046/2047",2047,120,120,100,74.3592084845832,1229.78057972994,1013
"2047/2048",2048,120,120,100,75.6531656222551,678.583643894177,1037
"2048/2049",2049,121,121,100,73.0805108192289,947.394526423886,1126
"2049/2050",2050,120,120,100,70.1779927390844,303.640431791544,1357
"2050/2051",2051,120,120,100,73.5912605604126,2118.87417623727,1071
"2051/2052",2052,120,120,100,79.7104361517459,2657.9339420381,689
"2052/2053",2053,121,121,100,76.3064291393948,2485.2041302328,762
"2053/2054",2054,120,120,100,81.4270769259783,2003.7387535125,672
"2054/2055",2055,120,120,100,75.4287747609033,1094.78591428418,872
"2055/2056",2056,120,120,100,70.5206480506131,3247.76189592527,976
"2056/2057",2057,121,121,100,66.2224664534406,1409.79399219947,1117
"2057/2058",2058,120,120,100,81.6918462874346,1376.34577149432,704
"2058/2059",2059,120,120,100,68.0461747287318,732.686495400965,1202
"2059/2060",2060,120,120,100,78.8018655946198,2100.38058612822,817
"2060/2061",2061,121,121,100,80.5304080355818,2783.52905633999,734
"2061/2062",2062,120,120,100,65.4087381701847,656.227685050573,1441
"2062/2063",2063,120,120,100,69.0810282535967,1391.42258896772,1117
"2063/2064",2064,120,120,100,72.2951400917809,1280.93049457297,1129
"2064/2065",2065,121,121,100,77.8208615276308,1400.39896115847,820
"2065/2066",2066,120,120,100,84.1796465721181,1010.37385756103,531
