"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,74.3411300681269,2075.07910384048,950
"2002/2003",2003,120,120,100,69.0658517322424,632.141061653689,1372
"2003/2004",2004,120,120,100,78.0052262526306,1045.6412025677,856
"2004/2005",2005,121,121,100,80.6957376557014,2813.96599265788,770
"2005/2006",2006,120,120,100,76.599203966932,1414.91763599496,897
"2006/2007",2007,120,120,100,74.0309443393497,1552.97448089771,998
"2007/2008",2008,120,120,100,62.6119946688062,452.04733260232,1343
"2008/2009",2009,121,121,100,77.4998555862762,2754.92644948501,762
"2009/2010",2010,120,120,100,77.3130704195796,1126.19795516599,883
"2010/2011",2011,120,120,100,73.5847455602966,973.958120183903,873
"2011/2012",2012,120,120,100,67.4289860786637,1434.18941436475,1348
"2012/2013",2013,121,121,100,75.6943452395087,1228.35368586669,980
"2013/2014",2014,120,120,100,64.5282935146481,1129.26896166359,1493
"2014/2015",2015,120,120,100,74.2466671806903,1911.3210106194,954
"2015/2016",2016,120,120,100,71.6425528998088,1597.04352507659,1094
"2016/2017",2017,121,121,100,75.8497971536481,2429.84925028973,1028
"2017/2018",2018,120,120,100,64.4291016859138,1259.07664391038,1322
"2018/2019",2019,120,120,100,72.1240394184488,1169.00651637372,1218
"2019/2020",2020,120,120,100,78.6542758501068,2532.35415500915,727
"2020/2021",2021,121,121,100,71.640598043683,755.297833082732,1380
"2021/2022",2022,120,120,100,69.0862173308483,2977.122978186,1197
"2022/2023",2023,120,120,100,72.747414884408,1020.56507324171,975
"2023/2024",2024,120,120,100,79.5102215054312,2700.14714444755,650
"2024/2025",2025,121,121,100,76.3994432169288,1011.1365400115,971
"2025/2026",2026,120,120,100,55.7169860813829,992.846850401955,1723
"2026/2027",2027,120,120,100,79.9496396465311,1783.5056235427,823
"2027/2028",2028,120,120,100,60.246582482443,392.931145891082,1489
"2028/2029",2029,121,121,100,74.741318617645,2139.45826669689,1109
"2029/2030",2030,120,120,100,73.4961324556748,1608.17566203559,1165
"2030/2031",2031,120,120,100,78.4875721788012,1260.26525824936,989
"2031/2032",2032,120,120,100,80.8177325686438,1810.92656352068,800
"2032/2033",2033,121,121,100,66.3708932944428,665.704972359352,1426
"2033/2034",2034,120,120,100,66.7318452138534,1761.16320913984,1322
"2034/2035",2035,120,120,100,67.7162165523223,2224.7642928015,1224
"2035/2036",2036,120,120,100,74.304712187889,1316.52027926687,1059
"2036/2037",2037,121,121,100,66.9333933245389,1091.84963704413,1403
"2037/2038",2038,120,120,100,73.8950925040854,1555.71881782264,1048
"2038/2039",2039,120,120,100,82.4492186761254,1824.58343933057,612
"2039/2040",2040,120,120,100,78.2061024887025,1898.90516779805,910
"2040/2041",2041,121,121,100,79.2106607684891,1260.79550038744,848
"2041/2042",2042,120,120,100,78.2452454633849,2151.14122461947,755
"2042/2043",2043,120,120,100,69.1198551979678,633.306222363841,1473
"2043/2044",2044,120,120,100,77.3280053601884,1326.6991105685,854
"2044/2045",2045,121,121,100,64.8800707944047,605.768687328324,1356
"2045/2046",2046,120,120,100,68.4746577666292,2304.90540456027,1160
"2046/2047",2047,120,120,100,71.832462564842,1218.5772057944,1133
"2047/2048",2048,120,120,100,72.830219442837,688.645627442747,1158
"2048/2049",2049,121,121,100,73.5042421793787,848.880397475325,1246
"2049/2050",2050,120,120,100,67.8924194032852,318.297890730202,1525
"2050/2051",2051,120,120,100,70.2269353670763,2049.59861024749,1298
"2051/2052",2052,120,120,100,76.0961320681399,2370.15286670765,825
"2052/2053",2053,121,121,100,75.7059168128508,2031.23900798056,939
"2053/2054",2054,120,120,100,77.9349937249544,1930.2067849189,865
"2054/2055",2055,120,120,100,74.094250817896,1078.64389052009,1060
"2055/2056",2056,120,120,100,66.8065281802155,3350.66509331483,1137
"2056/2057",2057,121,121,100,64.5448239998905,1116.48582043126,1215
"2057/2058",2058,120,120,100,78.7433612517743,1382.47894863319,866
"2058/2059",2059,120,120,100,65.2834166788425,718.701705436222,1400
"2059/2060",2060,120,120,100,75.8913293011419,2236.18343837745,925
"2060/2061",2061,121,121,100,78.8583400996376,2880.76757653011,850
"2061/2062",2062,120,120,100,62.9219279896733,637.35498600034,1504
"2062/2063",2063,120,120,100,70.3026442460159,981.52927210601,1214
"2063/2064",2064,120,120,100,70.4024819150891,1261.29730434064,1242
"2064/2065",2065,121,121,100,75.9038084293134,1263.31397966295,963
"2065/2066",2066,120,120,100,80.0869091152636,867.132824677974,715
"2066/2067",2067,120,120,100,66.0113870039295,843.348972951993,1344
"2067/2068",2068,120,120,100,79.3032992992448,2641.24948689574,709
"2068/2069",2069,121,121,100,72.8881884418952,1316.20103018917,1132
"2069/2070",2070,120,120,100,72.7692358570202,1428.03000351787,913
"2070/2071",2071,120,120,100,71.8587808790162,1858.78682413837,1194
"2071/2072",2072,120,120,100,66.3276542320691,1288.39604196558,1240
"2072/2073",2073,121,121,100,82.450441988758,2888.02528777998,616
"2073/2074",2074,120,120,100,63.0525216506394,2855.64603755251,1187
"2074/2075",2075,120,120,100,76.0566828420779,2541.79461084958,947
"2075/2076",2076,120,120,100,83.1593991197351,2126.87494938634,685
"2076/2077",2077,121,121,100,69.9267147388309,582.72468167264,1353
"2077/2078",2078,120,120,100,67.3083016509645,563.767225190066,1368
"2078/2079",2079,120,120,100,72.9344035311642,1047.42223326676,978
"2079/2080",2080,120,120,100,78.5144771123141,1730.03789424896,852
"2080/2081",2081,121,121,100,67.8264650247183,1467.57859552279,1121
"2081/2082",2082,120,120,100,72.7174020693183,2008.41519531049,914
"2082/2083",2083,120,120,100,75.8017083198592,1864.89816684648,943
"2083/2084",2084,120,120,100,74.4878865495793,987.93779991474,1128
"2084/2085",2085,121,121,100,66.3818330881313,1149.42079835944,1145
"2085/2086",2086,120,120,100,69.6311887611755,1322.6725932043,1166
"2086/2087",2087,120,120,100,71.7328113362764,1123.46979013272,1260
"2087/2088",2088,120,120,100,67.5503523553925,1458.6651735995,1245
"2088/2089",2089,121,121,100,74.9408157166235,1226.91259133536,1089
"2089/2090",2090,120,120,100,70.6920254789893,713.664868025109,1242
"2090/2091",2091,120,120,100,65.6014649444114,1123.96051283367,1411
"2091/2092",2092,120,120,100,71.2225462885108,559.246715470217,1286
"2092/2093",2093,121,121,100,75.8491642087884,1828.6018100623,960
"2093/2094",2094,120,120,100,63.4715566882714,1747.23747600429,1306
