"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.00772139812,8178.36429148864,363
"2002/2003",2003,120,120,100,82.137179176741,4217.72256814182,603
"2003/2004",2004,120,120,100,90.304008516114,5770.67421525635,162
"2004/2005",2005,121,121,100,78.6757762906007,9521.63764068525,94
"2005/2006",2006,120,120,100,80.6976424381252,6652.58623262448,374
"2006/2007",2007,120,120,100,83.0661893009615,6558.31346432306,273
"2007/2008",2008,120,120,100,86.6042728313791,3284.17750277731,475
"2008/2009",2009,121,121,100,78.6187890851666,9428.27490805986,225
"2009/2010",2010,120,120,100,89.1640815575745,5869.9592493535,171
"2010/2011",2011,120,120,100,87.28992183368,5576.11833859351,237
"2011/2012",2012,120,120,100,73.7470528791598,5911.19165360066,635
"2012/2013",2013,121,121,100,87.9471227002919,5599.63757198956,216
"2013/2014",2014,120,120,100,78.9125782398694,4689.45922589139,796
"2014/2015",2015,120,120,100,82.4923910645257,6873.02822563658,354
"2015/2016",2016,120,120,100,82.5300188389492,6398.33622880001,462
"2016/2017",2017,121,121,100,78.9634775224959,8042.33528282563,293
"2017/2018",2018,120,120,100,81.6723085684634,5071.10862043453,454
"2018/2019",2019,120,120,100,84.7357855000691,5282.44210701995,418
"2019/2020",2020,120,120,100,82.3136603509211,9067.69099442731,232
"2020/2021",2021,121,121,100,84.3782834807448,4222.50689064711,401
"2021/2022",2022,120,120,100,75.3339010612435,7337.61442865105,483
"2022/2023",2023,120,120,100,88.2503193172697,5478.5475142228,129
"2023/2024",2024,120,120,100,82.2529966232992,9456.8694553033,15
"2024/2025",2025,121,121,100,86.7608509225465,5748.99510496948,259
"2025/2026",2026,120,120,100,74.7449492455862,3841.71979661356,923
"2026/2027",2027,120,120,100,86.1320593251521,7634.24233156675,143
"2027/2028",2028,120,120,100,84.7208764526313,2750.9434398911,477
"2028/2029",2029,121,121,100,82.3088299573665,7102.8759634248,301
"2029/2030",2030,120,120,100,79.4656625616713,6658.85111851804,414
"2030/2031",2031,120,120,100,83.8108133723968,6057.62789049884,280
"2031/2032",2032,120,120,100,86.6186365587014,7706.40894617327,184
"2032/2033",2033,121,121,100,81.5972235400372,4036.92655060207,644
"2033/2034",2034,120,120,100,80.0952605059401,5657.38796655182,450
"2034/2035",2035,120,120,100,77.4368072899306,6645.48307866137,447
"2035/2036",2036,120,120,100,85.2982578109995,6091.30869762041,356
"2036/2037",2037,121,121,100,85.4673542373685,4309.7336374931,411
"2037/2038",2038,120,120,100,81.8389264484158,6528.84801562456,260
"2038/2039",2039,120,120,100,84.4521383760612,8869.5267887204,105
"2039/2040",2040,120,120,100,86.2189030273885,6781.49775665812,125
"2040/2041",2041,121,121,100,87.9907895405795,6679.17875890434,202
"2041/2042",2042,120,120,100,82.5042771845019,8584.05389716197,253
"2042/2043",2043,120,120,100,82.923275181276,4028.41493534064,519
"2043/2044",2044,120,120,100,87.5662269109125,6380.60314210039,185
"2044/2045",2045,121,121,100,84.0394179881387,3377.9214496878,605
"2045/2046",2046,120,120,100,81.0063317732493,6690.39805868454,405
"2046/2047",2047,120,120,100,81.1816551062293,5529.32080874126,593
"2047/2048",2048,120,120,100,88.4868818476698,4428.77323818859,319
"2048/2049",2049,121,121,100,83.2897513232156,4308.56406901823,407
"2049/2050",2050,120,120,100,88.0222768377889,2412.9464425561,371
"2050/2051",2051,120,120,100,80.1295946234786,6498.93264399841,295
"2051/2052",2052,120,120,100,81.3520677508304,8350.97436498106,266
"2052/2053",2053,121,121,100,83.2223986925928,7935.54198839236,267
"2053/2054",2054,120,120,100,83.8697034688821,7987.28400632832,158
"2054/2055",2055,120,120,100,86.449248933005,5371.93043197645,341
"2055/2056",2056,120,120,100,79.4648073468834,7645.32634888403,234
"2056/2057",2057,121,121,100,79.7796933790023,5258.24356282689,497
"2057/2058",2058,120,120,100,85.7975776300063,6552.82138304785,133
"2058/2059",2059,120,120,100,85.0215187039821,3837.2676219251,414
"2059/2060",2060,120,120,100,78.2676273217203,7807.52084563859,429
"2060/2061",2061,121,121,100,80.8217397344424,9119.81225496251,154
"2061/2062",2062,120,120,100,81.5456593860754,3427.01139741391,518
"2062/2063",2063,120,120,100,85.0863316044479,4889.08476273064,414
"2063/2064",2064,120,120,100,79.2364546135732,5857.79767247383,502
"2064/2065",2065,121,121,100,86.2384029524364,6222.18473007157,204
"2065/2066",2066,120,120,100,92.543708743965,5636.86751818936,34
"2066/2067",2067,120,120,100,83.4821096670585,3768.78340582643,639
"2067/2068",2068,120,120,100,80.0550851640673,9761.54446397536,219
"2068/2069",2069,121,121,100,84.8386773310413,5808.79594848026,348
"2069/2070",2070,120,120,100,83.1218658818034,6571.01494955644,423
"2070/2071",2071,120,120,100,82.3716167696657,6965.42931186594,242
"2071/2072",2072,120,120,100,76.2105873460077,5836.68375670351,580
"2072/2073",2073,121,121,100,81.7937441978047,10201.1049158126,255
"2073/2074",2074,120,120,100,76.2817119827905,7211.85527767614,552
"2074/2075",2075,120,120,100,78.0719303224141,8943.14358812198,300
"2075/2076",2076,120,120,100,84.1837958662709,8689.71929247677,63
"2076/2077",2077,121,121,100,85.0614501057898,3845.52749245334,439
"2077/2078",2078,120,120,100,86.7897404653104,3765.62266283855,450
"2078/2079",2079,120,120,100,84.3756379032893,5408.9220717065,327
"2079/2080",2080,120,120,100,81.442346702901,7914.22477340698,154
"2080/2081",2081,121,121,100,81.4020841051079,6491.35475840326,521
"2081/2082",2082,120,120,100,81.7735685375883,6904.62397091649,185
"2082/2083",2083,120,120,100,82.385687597789,7205.37444411311,328
"2083/2084",2084,120,120,100,85.3227895667678,5216.93347345758,269
"2084/2085",2085,121,121,100,82.2130576026466,4872.22243778687,395
"2085/2086",2086,120,120,100,82.7507062779277,5933.72212001402,358
"2086/2087",2087,120,120,100,85.1318650529793,4868.52484967653,387
"2087/2088",2088,120,120,100,80.5885465587417,5657.64650334977,493
"2088/2089",2089,121,121,100,84.596160115907,5714.52709940076,387
"2089/2090",2090,120,120,100,87.0875017674043,3792.5280680703,355
"2090/2091",2091,120,120,100,82.5352365143735,5106.7625168683,466
"2091/2092",2092,120,120,100,87.3779684349083,3586.17206905875,307
"2092/2093",2093,121,121,100,82.327151857844,7232.18666758481,345
"2093/2094",2094,120,120,100,74.9265700181604,6714.15146272629,584
"2094/2095",2095,120,120,100,87.9814749535308,4802.61970108841,123
"2095/2096",2096,120,120,100,82.3382486842056,8089.43047307525,126
"2096/2097",2097,121,121,100,70.3320458523776,9842.66553623602,316
"2097/2098",2098,120,120,100,80.2894666775628,5889.6753471382,531
"2098/2099",2099,120,120,100,83.9708820801206,6188.88919968531,275
"2099/2100",2100,120,120,100,88.9147900410971,6107.47981153987,141
"2100/2101",2101,120,120,100,83.5457100720978,6454.56863205321,315
