"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.3585012051879,4377.66138228517,770
"2002/2003",2003,120,120,100,76.6176111447355,1613.29682327622,1034
"2003/2004",2004,120,120,100,86.3957902708183,2245.17365846847,555
"2004/2005",2005,121,121,100,86.9586677216111,4564.29649542563,426
"2005/2006",2006,120,120,100,79.7811285794008,3206.11109912908,687
"2006/2007",2007,120,120,100,80.5506264778518,3194.95665333228,704
"2007/2008",2008,120,120,100,73.2324238577586,1309.27825963974,941
"2008/2009",2009,121,121,100,78.7328197636114,4763.14961718163,556
"2009/2010",2010,120,120,100,83.791761245416,2338.75158421381,461
"2010/2011",2011,120,120,100,79.5178430376545,2194.16544000118,571
"2011/2012",2012,120,120,100,71.0114647971691,3106.14086034289,1060
"2012/2013",2013,121,121,100,83.2668799224975,2551.37750067166,626
"2013/2014",2014,120,120,100,69.9894782220533,2577.06372412085,1252
"2014/2015",2015,120,120,100,79.3573264528582,3598.0522988349,594
"2015/2016",2016,120,120,100,78.3308338263323,3172.09821816452,801
"2016/2017",2017,121,121,100,79.9377898009029,4321.15215580352,710
"2017/2018",2018,120,120,100,72.4546322044416,2743.57114679622,989
"2018/2019",2019,120,120,100,79.8975999192608,2427.01338202576,837
"2019/2020",2020,120,120,100,83.70610118186,4287.70929931733,524
"2020/2021",2021,121,121,100,79.7942057442528,1837.22436212143,935
"2021/2022",2022,120,120,100,68.9437898259271,4823.61437356775,946
"2022/2023",2023,120,120,100,79.3110538905839,2675.6821649333,680
"2023/2024",2024,120,120,100,82.8112894079359,4907.54008387425,351
"2024/2025",2025,121,121,100,82.7853738299218,2115.14580226853,580
"2025/2026",2026,120,120,100,68.3994003112348,1700.37980973814,1372
"2026/2027",2027,120,120,100,83.2859478107275,3587.20553819719,495
"2027/2028",2028,120,120,100,73.4565376152364,944.771655112738,1063
"2028/2029",2029,121,121,100,76.6840889501796,4098.17890167632,704
"2029/2030",2030,120,120,100,77.4437725881298,3281.83931707265,893
"2030/2031",2031,120,120,100,82.1739120942843,2813.85599320265,710
"2031/2032",2032,120,120,100,85.9603731337293,3588.36281993729,506
"2032/2033",2033,121,121,100,74.7021884627393,1670.80024679145,1064
"2033/2034",2034,120,120,100,71.1767028303057,3349.32289581932,958
"2034/2035",2035,120,120,100,70.894285201075,3995.47733093472,966
"2035/2036",2036,120,120,100,81.7374874572906,2827.78105656849,749
"2036/2037",2037,121,121,100,75.6971288157274,2012.62555334205,1022
"2037/2038",2038,120,120,100,78.5910176689513,3407.23757229187,737
"2038/2039",2039,120,120,100,86.4137618098684,4019.2250129017,386
"2039/2040",2040,120,120,100,80.9766659931101,3611.49321921729,526
"2040/2041",2041,121,121,100,83.3200270415173,3114.65423431247,560
"2041/2042",2042,120,120,100,83.4737185847298,4107.65648616245,501
"2042/2043",2043,120,120,100,75.4970153512504,1856.36565017281,1077
"2043/2044",2044,120,120,100,83.4049018833211,2974.62271459168,482
"2044/2045",2045,121,121,100,75.776516082783,1652.51380816055,1083
"2045/2046",2046,120,120,100,76.3832845916568,3962.63250185503,862
"2046/2047",2047,120,120,100,78.6580746186346,2730.6806154428,813
"2047/2048",2048,120,120,100,80.6252281019042,1927.27791566122,850
"2048/2049",2049,121,121,100,78.3617749761579,2021.1383761391,968
"2049/2050",2050,120,120,100,77.1641401379147,914.891757398378,1017
"2050/2051",2051,120,120,100,75.1900911342464,3728.57453651121,831
"2051/2052",2052,120,120,100,79.1846484888474,4294.9473632779,534
"2052/2053",2053,121,121,100,80.8354953632243,3866.89556783671,570
"2053/2054",2054,120,120,100,81.6459448624591,4036.32646730682,550
"2054/2055",2055,120,120,100,78.995880752278,2620.49642109498,768
"2055/2056",2056,120,120,100,71.8726847409953,4872.66443172377,761
"2056/2057",2057,121,121,100,71.9282366010657,2223.86688674893,963
"2057/2058",2058,120,120,100,83.9540413094182,3093.4319756343,577
"2058/2059",2059,120,120,100,73.8713347070679,1879.57167399907,1028
"2059/2060",2060,120,120,100,78.3543105150275,4326.85645903554,724
"2060/2061",2061,121,121,100,80.9723813918617,5038.88503621379,558
"2061/2062",2062,120,120,100,71.1944020009078,1437.16636249237,1109
"2062/2063",2063,120,120,100,75.6411959298021,2213.59876924939,861
"2063/2064",2064,120,120,100,76.4163576329411,2794.06782506593,1004
"2064/2065",2065,121,121,100,84.0057635389294,2403.48916207766,559
"2065/2066",2066,120,120,100,86.9985059253995,2320.70833754353,405
"2066/2067",2067,120,120,100,73.7139033182211,1603.808196567,993
"2067/2068",2068,120,120,100,86.508991938379,4591.57135805674,473
"2068/2069",2069,121,121,100,79.2465446416463,2766.56440883595,766
"2069/2070",2070,120,120,100,78.5768776188288,3047.12841893733,717
"2070/2071",2071,120,120,100,77.6272332862791,3603.53691878077,689
"2071/2072",2072,120,120,100,72.1166059138595,2900.22793465666,956
"2072/2073",2073,121,121,100,83.9025560591235,5081.43666976877,439
"2073/2074",2074,120,120,100,66.7694769004465,4483.63595948182,906
"2074/2075",2075,120,120,100,78.3941384370082,4641.17709522881,696
"2075/2076",2076,120,120,100,86.703833980011,4014.45481803082,376
"2076/2077",2077,121,121,100,78.1152890871308,1637.01857806835,889
"2077/2078",2078,120,120,100,77.7007516322137,1455.39446729701,951
"2078/2079",2079,120,120,100,79.7472597343567,2389.95289558731,644
"2079/2080",2080,120,120,100,82.9682964520616,3354.20553272776,509
"2080/2081",2081,121,121,100,74.199917217562,3459.42896039505,960
"2081/2082",2082,120,120,100,78.9458363975809,3864.14536073525,602
"2082/2083",2083,120,120,100,77.7897211738473,3651.54277189728,726
"2083/2084",2084,120,120,100,80.3126007242117,2032.37090704218,712
"2084/2085",2085,121,121,100,75.556360761806,2357.71006532386,811
"2085/2086",2086,120,120,100,77.4083704349832,3079.70932587795,886
"2086/2087",2087,120,120,100,77.1834535011967,2556.98390594963,887
"2087/2088",2088,120,120,100,73.44153259636,2957.13897086214,904
"2088/2089",2089,121,121,100,79.9540290972982,2847.0484943511,785
"2089/2090",2090,120,120,100,78.8788814844429,1512.42079548351,786
"2090/2091",2091,120,120,100,72.8426495707899,2712.278603049,1084
"2091/2092",2092,120,120,100,78.8989910247401,1548.35610501654,882
