"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.5218169861768,5179.40086737481,560
"2002/2003",2003,120,120,100,80.1238088806395,2076.3829620755,859
"2003/2004",2004,120,120,100,87.9958209411998,3120.36980473541,370
"2004/2005",2005,121,121,100,84.4900626666859,6107.31125930167,317
"2005/2006",2006,120,120,100,82.3521279484919,4033.49851597717,518
"2006/2007",2007,120,120,100,82.9996106337177,4024.1480316213,531
"2007/2008",2008,120,120,100,77.8715061831419,1690.18195850274,711
"2008/2009",2009,121,121,100,80.8127159933499,6009.87437349721,430
"2009/2010",2010,120,120,100,86.532685959776,3270.96811027324,341
"2010/2011",2011,120,120,100,81.4528943060816,3128.46933070605,457
"2011/2012",2012,120,120,100,73.8666336861606,3668.37788475736,871
"2012/2013",2013,121,121,100,86.0748304563817,3314.74447909894,424
"2013/2014",2014,120,120,100,72.2844797861796,3098.35085851874,1074
"2014/2015",2015,120,120,100,80.1634607792826,4385.17202866718,485
"2015/2016",2016,120,120,100,78.4322377679046,4064.59419824893,661
"2016/2017",2017,121,121,100,79.842641574201,5143.07362465793,531
"2017/2018",2018,120,120,100,75.4587793751616,3247.23539903737,750
"2018/2019",2019,120,120,100,81.2330131700719,3163.11207425874,694
"2019/2020",2020,120,120,100,84.2130590476022,5625.93249794887,425
"2020/2021",2021,121,121,100,80.0727452922724,2413.23887569038,716
"2021/2022",2022,120,120,100,71.5631594388674,5549.05618763831,733
"2022/2023",2023,120,120,100,83.0389657451674,3327.20160766551,438
"2023/2024",2024,120,120,100,85.4380960811241,6073.87320636795,184
"2024/2025",2025,121,121,100,85.3698048069386,2933.76070714486,419
"2025/2026",2026,120,120,100,71.6478859853351,2197.31199405319,1168
"2026/2027",2027,120,120,100,86.734150306268,4562.8214337267,339
"2027/2028",2028,120,120,100,77.0636661845083,1455.01351450826,881
"2028/2029",2029,121,121,100,80.5326726631574,4862.78000688297,542
"2029/2030",2030,120,120,100,80.2267097329041,3945.23902301094,727
"2030/2031",2031,120,120,100,84.5902727702751,3423.17332386784,528
"2031/2032",2032,120,120,100,85.7617336760482,4706.76774959452,384
"2032/2033",2033,121,121,100,78.5706498164072,2150.50064428896,869
"2033/2034",2034,120,120,100,75.2032900717486,3960.86792814313,735
"2034/2035",2035,120,120,100,73.7515472517534,4631.06415932719,757
"2035/2036",2036,120,120,100,83.2199015892402,3575.56772466004,593
"2036/2037",2037,121,121,100,79.1779578451751,2706.00556143699,819
"2037/2038",2038,120,120,100,80.2608360724462,4219.01525079831,542
"2038/2039",2039,120,120,100,89.0614007204822,5135.28985099448,258
"2039/2040",2040,120,120,100,84.4826445538292,4345.92870012065,323
"2040/2041",2041,121,121,100,86.8945658982575,3754.25165818352,362
"2041/2042",2042,120,120,100,84.6429412506905,5421.07150602015,426
"2042/2043",2043,120,120,100,78.7882243428312,2183.23458755855,829
"2043/2044",2044,120,120,100,85.842891975889,3859.32840058766,332
"2044/2045",2045,121,121,100,78.3064974534464,2008.13930747285,792
"2045/2046",2046,120,120,100,76.8887448775395,4693.72303199302,712
"2046/2047",2047,120,120,100,78.3976075364299,3391.29780948767,716
"2047/2048",2048,120,120,100,83.0214692118125,2525.45939126657,592
"2048/2049",2049,121,121,100,80.4314252453551,2472.19187891902,793
"2049/2050",2050,120,120,100,79.9643179047061,1259.17870287783,738
"2050/2051",2051,120,120,100,77.4959980239373,4435.57921742555,601
"2051/2052",2052,120,120,100,80.5218382776411,5284.75617100392,416
"2052/2053",2053,121,121,100,83.5794106760959,4786.01456261519,407
"2053/2054",2054,120,120,100,81.5801437807122,5026.82206187258,410
"2054/2055",2055,120,120,100,82.2709408341616,3257.72113871062,585
"2055/2056",2056,120,120,100,73.678620801792,5616.50699081179,529
"2056/2057",2057,121,121,100,73.9152537360378,3002.31302134739,813
"2057/2058",2058,120,120,100,84.7394769456805,3940.65734021598,331
"2058/2059",2059,120,120,100,77.5169683316435,2312.33689395012,762
"2059/2060",2060,120,120,100,77.7865736513277,5308.45008846279,611
"2060/2061",2061,121,121,100,80.2158600480288,6232.37786561437,439
"2061/2062",2062,120,120,100,74.1204528673852,1880.61736149387,918
"2062/2063",2063,120,120,100,81.3088839930952,2595.54593326431,650
"2063/2064",2064,120,120,100,78.1416979105425,3600.53351226542,831
"2064/2065",2065,121,121,100,86.7275039428205,3352.71049935743,401
"2065/2066",2066,120,120,100,89.8189768325192,3007.89114151523,233
"2066/2067",2067,120,120,100,75.562457107284,2284.78411077056,892
"2067/2068",2068,120,120,100,85.5159505110241,6185.67502739094,405
"2068/2069",2069,121,121,100,81.7207831657652,3565.24217558373,623
"2069/2070",2070,120,120,100,80.6579404031327,4061.47937959898,615
"2070/2071",2071,120,120,100,81.4524858536133,4283.59900334012,480
