"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.4664988237839,6241.72447023744,474
"2002/2003",2003,120,120,100,80.6590335406823,2768.7580646756,761
"2003/2004",2004,120,120,100,86.8086222734029,4633.80468116142,374
"2004/2005",2005,121,121,100,77.0103421204809,8527.49132036045,371
"2005/2006",2006,120,120,100,80.4816309577922,5535.71942994185,491
"2006/2007",2007,120,120,100,82.2032713559495,5405.77049712272,471
"2007/2008",2008,120,120,100,81.1147282389642,2377.8415167054,606
"2008/2009",2009,121,121,100,73.0942751748668,8178.53286625724,413
"2009/2010",2010,120,120,100,83.3735378692529,5082.53926300025,393
"2010/2011",2011,120,120,100,80.5658588299666,4746.73519535386,449
"2011/2012",2012,120,120,100,71.5468713863784,4766.36388947559,819
"2012/2013",2013,121,121,100,84.7736384192103,4687.78172358545,445
"2013/2014",2014,120,120,100,75.8568982677527,3993.00194996654,931
"2014/2015",2015,120,120,100,79.9858957537595,5649.540044375,524
"2015/2016",2016,120,120,100,77.7101260871705,5606.07350288332,598
"2016/2017",2017,121,121,100,79.5114764424468,6248.36360515957,439
"2017/2018",2018,120,120,100,74.7379465101967,4433.19077745103,737
"2018/2019",2019,120,120,100,81.0076761448181,4233.39581792848,691
"2019/2020",2020,120,120,100,79.6159255891498,7551.59602944762,391
"2020/2021",2021,121,121,100,80.1221913361123,3486.12970563816,722
"2021/2022",2022,120,120,100,71.4838603137578,6821.23476945143,716
"2022/2023",2023,120,120,100,83.8377764886686,4535.31171194278,384
"2023/2024",2024,120,120,100,83.5629951103815,7562.81778979511,155
"2024/2025",2025,121,121,100,86.6236255189156,4181.28646378964,379
"2025/2026",2026,120,120,100,71.9105512807364,2886.05336006125,1084
"2026/2027",2027,120,120,100,85.0958008557927,6018.50125384051,314
"2027/2028",2028,120,120,100,77.7337748182495,2729.0725754227,890
"2028/2029",2029,121,121,100,78.1470314309895,6468.47591514862,562
"2029/2030",2030,120,120,100,81.7005076654837,4616.72851142148,591
"2030/2031",2031,120,120,100,86.7136024469328,4310.86794434045,417
"2031/2032",2032,120,120,100,83.4242129210347,6645.52398758661,421
"2032/2033",2033,121,121,100,79.8013348450477,3097.21314239735,814
"2033/2034",2034,120,120,100,72.9682018598887,5204.57520714588,715
"2034/2035",2035,120,120,100,76.3008831600991,5486.35379136726,721
"2035/2036",2036,120,120,100,83.3125423566116,4748.61560922302,558
"2036/2037",2037,121,121,100,79.7973074277215,4009.07100180909,774
"2037/2038",2038,120,120,100,77.7745228033846,5884.14590240316,523
"2038/2039",2039,120,120,100,86.6685915966345,6619.63374059694,194
"2039/2040",2040,120,120,100,82.9506354326213,5381.11291975854,276
"2040/2041",2041,121,121,100,86.4551974602227,5005.84743447648,348
"2041/2042",2042,120,120,100,78.4737490545549,7572.32696310664,420
"2042/2043",2043,120,120,100,81.6538600358226,2990.93993826164,749
"2043/2044",2044,120,120,100,81.9518128830332,5695.21842211997,431
"2044/2045",2045,121,121,100,80.1773577467056,2983.73316758079,749
"2045/2046",2046,120,120,100,76.6767293531466,5962.82509162184,645
"2046/2047",2047,120,120,100,77.544507788627,4585.68765668198,711
"2047/2048",2048,120,120,100,83.5168256273118,3795.76465333393,549
"2048/2049",2049,121,121,100,81.3502668236497,3394.86917243386,750
"2049/2050",2050,120,120,100,82.779385644415,2025.4594843965,707
"2050/2051",2051,120,120,100,76.8714947935678,5366.02637844719,554
"2051/2052",2052,120,120,100,81.3597839342146,6348.18259707559,381
"2052/2053",2053,121,121,100,81.9320144376397,5881.45820136601,412
"2053/2054",2054,120,120,100,79.041205751214,6845.40376946749,393
"2054/2055",2055,120,120,100,82.7310722882912,4388.18421621528,532
"2055/2056",2056,120,120,100,75.5190297544914,6512.63157037226,477
"2056/2057",2057,121,121,100,76.1782546111635,4141.18403492542,764
"2057/2058",2058,120,120,100,81.8311487149185,5512.46328852931,318
"2058/2059",2059,120,120,100,78.5870228105578,3183.02164356923,691
"2059/2060",2060,120,120,100,73.8356640192733,7248.71438349457,640
"2060/2061",2061,121,121,100,76.4706348304071,8325.91297317529,472
"2061/2062",2062,120,120,100,75.5354576586578,2976.73400459532,796
"2062/2063",2063,120,120,100,83.7761251780657,3102.5894818157,553
"2063/2064",2064,120,120,100,77.0744983095528,5363.08761121891,762
"2064/2065",2065,121,121,100,84.1560218424729,4936.39634675626,368
"2065/2066",2066,120,120,100,89.7392359167143,4428.97516490612,224
"2066/2067",2067,120,120,100,75.4304893953686,3658.89034468774,857
"2067/2068",2068,120,120,100,76.7514756056971,8596.6340315761,459
"2068/2069",2069,121,121,100,81.6955292286057,5074.14524404984,561
"2069/2070",2070,120,120,100,77.7453421252085,6132.00833164528,576
"2070/2071",2071,120,120,100,83.1619220259654,4831.41473056935,413
"2071/2072",2072,120,120,100,74.032221967931,4369.32914911304,789
"2072/2073",2073,121,121,100,82.5443719964223,8723.74356557056,364
"2073/2074",2074,120,120,100,71.9894312351753,6457.66486885585,712
"2074/2075",2075,120,120,100,79.6530854427965,6566.21059374977,410
"2075/2076",2076,120,120,100,81.3626844147348,7469.73970316537,280
"2076/2077",2077,121,121,100,83.6925256836439,2624.41129449755,628
"2077/2078",2078,120,120,100,80.1159079219124,3255.10070032813,682
"2078/2079",2079,120,120,100,79.1466955799788,4657.36552607547,487
"2079/2080",2080,120,120,100,82.0735870332919,6060.83777944092,366
"2080/2081",2081,121,121,100,70.895017302857,6510.43094370514,885
"2081/2082",2082,120,120,100,78.1358668983266,6342.94296547771,470
"2082/2083",2083,120,120,100,81.269648562713,6014.14636885561,470
"2083/2084",2084,120,120,100,83.0533251206944,3784.51964507811,473
"2084/2085",2085,121,121,100,78.1105766342098,4080.25515819527,596
"2085/2086",2086,120,120,100,78.8539978804638,5438.94298457913,676
"2086/2087",2087,120,120,100,79.578521063735,4370.51758919749,728
"2087/2088",2088,120,120,100,74.9823391928694,5140.31020543352,813
"2088/2089",2089,121,121,100,81.7783497901055,4836.92889270373,618
"2089/2090",2090,120,120,100,82.9064058929125,3332.36997211073,628
"2090/2091",2091,120,120,100,74.1064629086359,4734.94893886149,808
"2091/2092",2092,120,120,100,82.0128968560693,3175.71148623154,634
"2092/2093",2093,121,121,100,79.5344423721035,6035.06135744508,531
"2093/2094",2094,120,120,100,69.9044309276323,6085.12157593109,906
"2094/2095",2095,120,120,100,85.2765335434724,4180.45620056801,433
"2095/2096",2096,120,120,100,79.4039712220856,6898.0838390626,329
"2096/2097",2097,121,121,100,67.9790784557463,8152.37823096197,539
"2097/2098",2098,120,120,100,73.2346198359483,5240.67729603406,806
"2098/2099",2099,120,120,100,82.7456882480365,4897.40215064678,506
"2099/2100",2100,120,120,100,83.2809638389208,5363.47661118954,388
"2100/2101",2101,120,120,100,77.8054718183885,5979.53682129178,604
