"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,72.2755481458565,1811.05202665483,1081
"2002/2003",2003,120,120,100,67.4046763540017,572.96200624296,1470
"2003/2004",2004,120,120,100,76.5919653872783,764.86973114984,1055
"2004/2005",2005,121,121,100,80.3383283633717,2041.10703109315,891
"2005/2006",2006,120,120,100,74.1329273633316,1186.42238353047,1148
"2006/2007",2007,120,120,100,72.5443295878171,1230.27861223213,1200
"2007/2008",2008,120,120,100,59.9864890147488,415.865558841382,1605
"2008/2009",2009,121,121,100,77.5017132336488,2205.43094535533,914
"2009/2010",2010,120,120,100,73.8006012638486,813.728077598265,1097
"2010/2011",2011,120,120,100,72.1100245137266,681.515661190148,1092
"2011/2012",2012,120,120,100,65.6005086737759,1317.10462982557,1462
"2012/2013",2013,121,121,100,74.3811895996016,982.873336557299,1185
"2013/2014",2014,120,120,100,61.9313437660098,907.228477928438,1619
"2014/2015",2015,120,120,100,72.2108897327832,1606.28734452918,1108
"2015/2016",2016,120,120,100,71.1818246509929,1226.78650730557,1275
"2016/2017",2017,121,121,100,72.9025213158229,2060.52810375323,1144
"2017/2018",2018,120,120,100,63.4142570916497,1093.04380195099,1505
"2018/2019",2019,120,120,100,67.0791892575758,882.797818415333,1408
"2019/2020",2020,120,120,100,77.7752792887668,1928.54098242964,895
"2020/2021",2021,121,121,100,68.2419322031983,605.231926256791,1517
"2021/2022",2022,120,120,100,64.671241754239,2591.49478284409,1437
"2022/2023",2023,120,120,100,67.4092556232731,914.398645757698,1255
"2023/2024",2024,120,120,100,78.3942305589999,2317.70985868014,847
"2024/2025",2025,121,121,100,74.3643248367471,766.877245026873,1198
"2025/2026",2026,120,120,100,55.0155081522093,744.692286969628,1857
"2026/2027",2027,120,120,100,77.5125437865086,1442.72258313349,998
"2027/2028",2028,120,120,100,57.105185070368,234.769815515494,1687
"2028/2029",2029,121,121,100,71.7735217241711,1840.51132229995,1266
"2029/2030",2030,120,120,100,71.3852922661608,1401.83778403164,1315
"2030/2031",2031,120,120,100,75.4671673041585,1175.45581416576,1207
"2031/2032",2032,120,120,100,79.5858421220855,1393.47929216828,916
"2032/2033",2033,121,121,100,65.0053154385078,529.228876119945,1572
"2033/2034",2034,120,120,100,65.3538951851006,1531.83676715475,1509
"2034/2035",2035,120,120,100,64.2427700692606,1977.45581357856,1393
"2035/2036",2036,120,120,100,72.2366168744011,1033.51733825123,1198
"2036/2037",2037,121,121,100,65.2863825677387,818.664721802808,1533
"2037/2038",2038,120,120,100,71.2591053116594,1286.8231592034,1256
"2038/2039",2039,120,120,100,78.5292582254688,1494.35422032443,767
"2039/2040",2040,120,120,100,75.0400049801983,1596.93206761288,1151
"2040/2041",2041,121,121,100,75.0572507605857,1149.75455508614,1068
"2041/2042",2042,120,120,100,78.1832101838954,1547.02204002626,848
"2042/2043",2043,120,120,100,66.4427904744198,608.684356992599,1596
"2043/2044",2044,120,120,100,74.1896414019275,1055.04385918519,1056
"2044/2045",2045,121,121,100,61.4724389080202,511.572341676801,1568
"2045/2046",2046,120,120,100,67.0949356527744,1986.20639225282,1301
"2046/2047",2047,120,120,100,69.9974965539404,1019.95304018166,1306
"2047/2048",2048,120,120,100,69.835251126251,575.517603801098,1351
"2048/2049",2049,121,121,100,69.3574218100421,717.729856476188,1447
"2049/2050",2050,120,120,100,64.9336851275584,235.547624713276,1744
"2050/2051",2051,120,120,100,66.8497411230837,1721.08313791966,1450
"2051/2052",2052,120,120,100,76.0651783438461,2023.87048934819,981
"2052/2053",2053,121,121,100,72.1980823835147,1717.35499501973,1103
"2053/2054",2054,120,120,100,75.4691248076924,1619.35735727893,1019
"2054/2055",2055,120,120,100,70.6191910333182,897.797222996131,1271
"2055/2056",2056,120,120,100,64.4737992458186,2931.48305289727,1329
"2056/2057",2057,121,121,100,63.0108331815527,890.250858895015,1364
"2057/2058",2058,120,120,100,74.8039058243103,1106.55814143876,1085
"2058/2059",2059,120,120,100,64.0202120971499,618.087450649124,1549
"2059/2060",2060,120,120,100,72.7991335855513,1838.3891311055,1081
"2060/2061",2061,121,121,100,77.2974876364715,2379.26627328759,1013
"2061/2062",2062,120,120,100,60.1611493652799,493.041292822454,1738
"2062/2063",2063,120,120,100,67.2770216523149,981.630726759788,1429
"2063/2064",2064,120,120,100,69.8713653604773,993.668332115281,1457
"2064/2065",2065,121,121,100,74.1248420209631,879.203030610457,1171
"2065/2066",2066,120,120,100,77.1923540415792,718.337266148534,969
"2066/2067",2067,120,120,100,63.9658526922976,587.986103694886,1561
"2067/2068",2068,120,120,100,78.4174901571678,1904.30834788829,800
"2068/2069",2069,121,121,100,72.0648940485498,1012.38588040229,1311
"2069/2070",2070,120,120,100,71.1418871769565,1098.74153933348,1109
"2070/2071",2071,120,120,100,70.6231517864071,1638.64811096713,1366
"2071/2072",2072,120,120,100,64.6760774033191,1162.69515887834,1355
"2072/2073",2073,121,121,100,79.8173973519843,2292.54271128075,754
"2073/2074",2074,120,120,100,62.9892994862366,2421.3682874334,1380
"2074/2075",2075,120,120,100,73.3599622733473,2179.90658763656,1095
"2075/2076",2076,120,120,100,81.3882146290616,1591.73415203998,773
"2076/2077",2077,121,121,100,68.3193289201317,561.839921060018,1586
"2077/2078",2078,120,120,100,63.2928461175197,417.043136930559,1552
"2078/2079",2079,120,120,100,69.4763844340123,834.93752224464,1176
"2079/2080",2080,120,120,100,74.193412560966,1388.76885972219,986
"2080/2081",2081,121,121,100,67.4459448654998,1222.68295080122,1292
"2081/2082",2082,120,120,100,72.0448599739011,1735.03663137369,1108
"2082/2083",2083,120,120,100,72.6491936054099,1557.82492369972,1085
"2083/2084",2084,120,120,100,73.2358383017945,740.412679104134,1329
"2084/2085",2085,121,121,100,65.064552556516,960.336228958331,1321
"2085/2086",2086,120,120,100,68.3068107835061,1118.16783375386,1323
"2086/2087",2087,120,120,100,68.8447117969154,1001.31297092792,1391
"2087/2088",2088,120,120,100,66.0837591286163,1196.0709616011,1366
"2088/2089",2089,121,121,100,70.2092307242438,1065.62467632536,1229
"2089/2090",2090,120,120,100,68.7435491622055,544.06718283426,1507
"2090/2091",2091,120,120,100,64.3870688081333,933.097082456574,1522
"2091/2092",2092,120,120,100,67.5459881683528,467.342127190903,1509
"2092/2093",2093,121,121,100,74.290120468253,1460.79620209709,1128
"2093/2094",2094,120,120,100,63.7197342573309,1523.63806136977,1419
"2094/2095",2095,120,120,100,73.7105739535509,607.322875260375,1247
"2095/2096",2096,120,120,100,75.2927407704428,2089.28121657018,1056
"2096/2097",2097,121,121,100,67.6997305810946,3778.81155216694,1266
"2097/2098",2098,120,120,100,64.7817562033088,1325.1011055354,1385
"2098/2099",2099,120,120,100,72.9675975179543,1104.53950067516,1160
"2099/2100",2100,120,120,100,72.6297239907071,1390.50780159235,1078
"2100/2101",2101,120,120,100,69.7978353235176,975.451075510122,1221
