"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.2976654056617,159.375530952704,91.1981029235368,54.216394444756,94.5917360039624,1749.61282034141,1531.5,1436.18380692711,1611.5,1524.5,1378,1522,77.425191432029
"2002/2003",2003,120,120,100,44.3620850256396,141.624583650388,105.056931851542,59.9381419998267,99.1713936659945,1551.60013660698,1295.5,1046.35371647913,1453.5,1219,1407,1217.5,71.6127770217289
"2003/2004",2004,120,120,100,57.1372505959941,200.045911137404,85.8254267752437,76.7754823946293,103.002788678237,1981.18496310577,1652,1406.10149772434,1847.5,1583.5,1774,1583.5,80.4840045803068
"2004/2005",2005,121,121,100,44.852492818417,178.486192200113,79.6646965907097,61.003467259047,98.4354482115018,1890.58071418542,1642.5,1499.31314568022,1771,1602,1516,1596.5,83.086264258563
"2005/2006",2006,120,120,100,45.519880066975,162.824487833433,93.5859285345687,60.5795465614533,95.7211968166163,1789.78627668488,1522,1371.44323069036,1676,1494,1477,1490,77.7491650087666
"2006/2007",2007,120,120,100,47.2133374305127,199.124556888378,86.5128788471391,64.6893130361376,100.50778947145,1753.6120623613,1430,1281.28633092519,1611,1378.5,1453,1378,75.0400231717682
"2007/2008",2008,120,120,100,42.7112844067387,154.855421622401,106.548068190798,64.8292185348922,101.869452362122,1571.21816762179,1162,941.752316699268,1466,1063,1427,1063,66.3830129651383
"2008/2009",2009,121,121,100,49.6693091035939,198.230896462342,83.9688095936349,61.3840409218233,95.8278191106793,1843.15787334245,1647,1447.7295722921,1726,1597.5,1508,1585,77.3841529335623
"2009/2010",2010,120,120,100,52.0036989962661,182.527778414639,88.7867227044205,71.2895018250957,101.494297526583,1911.23082553064,1565.5,1347.62995363158,1792,1483,1669,1482.5,78.1681353440042
"2010/2011",2011,120,120,100,59.2193324027914,193.772357726732,91.3418845078087,74.1255474400291,100.350443483536,1942.54074383383,1649,1405.37655180242,1821,1585,1741,1585,75.6509264681256
"2011/2012",2012,120,120,100,37.7165405338008,125.020008606827,107.452698591451,51.0279143264809,94.1270364427797,1422.92047584216,1186.5,1047.44668145216,1338.5,1149.5,1178,1146.5,68.0714963830344
"2012/2013",2013,121,121,100,50.9972973778897,189.135998065993,91.0814579369632,70.8358629896022,102.189908768879,1882.51916534206,1565,1316.21083729147,1755.5,1482.5,1675,1477,79.6077325079609
"2013/2014",2014,120,120,100,31.8083421283466,98.7775228285086,112.28107543304,44.60749660626,93.6115953909951,1350.33589165792,1085,1015.0014315521,1222.5,1084.5,1062,1084.5,65.6542273675386
"2014/2015",2015,120,120,100,47.7509273238965,168.733278841491,91.8926458578487,63.8176896308426,97.5417441985474,1824.48996700268,1572,1338.93455169415,1721,1485,1614,1478,77.3689217824028
"2015/2016",2016,120,120,100,38.4512559709021,130.873807739141,95.391228067596,53.9160239939112,97.0927671486359,1564.60767729265,1259.5,1163.87489817501,1445.5,1211.5,1314,1211.5,71.741073541607
"2016/2017",2017,121,121,100,46.1646984846091,171.315830511677,88.173408023522,61.948254999708,98.6581817708149,1736.54066133776,1463.5,1276.53150186716,1622,1402,1487,1392,76.2235492803034
"2017/2018",2018,120,120,100,36.1681364543152,133.070561527293,105.498074714052,54.9405978739346,97.1675567929117,1486.09593723942,1188,1051.57744314502,1380,1151.5,1224,1151.5,65.463597783893
"2018/2019",2019,120,120,100,38.9960660927074,121.380233556972,98.8399430940064,57.5554676539834,99.7807960078154,1646.28010546323,1347.5,1171.92689404767,1507,1291,1410,1283,74.5608030713352
"2019/2020",2020,120,120,100,44.8110972436297,167.826204020547,82.2237923436284,59.3529057918764,97.2907367918592,1871.98797630585,1609.5,1468.85326223678,1707.5,1567.5,1542,1554.5,80.0563134667841
"2020/2021",2021,121,121,100,39.4827468391872,139.734723910849,100.286470485065,61.9046629585234,101.61848011108,1580.07148252486,1280.5,1073.49713175752,1463,1202.5,1372,1202.5,72.2264877204188
"2021/2022",2022,120,120,100,31.3026382822355,123.397059749485,98.2256306308713,46.259633236392,93.9699098383199,1391.87555150483,1115.5,982.128762187129,1285,1070.5,1142,1042,67.5167214354924
"2022/2023",2023,120,120,100,40.688311421244,137.102227947996,92.0872903825152,61.3366675595645,101.114828435885,1752.15398527296,1399.5,1235.60546630191,1627,1344.5,1471,1343,72.9424429946048
"2023/2024",2024,120,120,100,50.4861755994977,205.04045158876,76.9052172694633,67.9547383141333,99.0387754694201,2014.580616067,1724,1517.15747862311,1860,1649,1695,1642.5,82.4032424967636
"2024/2025",2025,121,121,100,51.682276412557,175.483074135459,93.4713628834602,73.3556420334455,103.256820104505,1934.37597053687,1573,1326.65722601726,1835,1482.5,1791,1482.5,79.3550898924555
"2025/2026",2026,120,120,100,27.2537955674112,122.899501249892,117.632479413337,44.4607426433747,96.0605170830642,1134.56464385201,806.5,705.261723911091,1018.5,750,996,750,60.4921847736059
"2026/2027",2027,120,120,100,49.7276142501798,184.895736687341,82.550424883469,66.7152520209726,100.058441129237,1935.96647914273,1652,1456.8087714458,1820.5,1605.5,1611,1605.5,80.715406208421
"2027/2028",2028,120,120,100,35.8813161981325,111.426606459444,111.139303260544,56.7305910100306,100.246170268382,1444.34070510702,1100.5,900.851814066742,1358,1010,1360,1010,62.1493881040242
"2028/2029",2029,121,121,100,40.3182159217436,166.902800039331,90.1991101080028,56.8683766975851,98.3294520273349,1625.21758156539,1346,1173.92375400959,1528,1266,1363,1260.5,75.3799049980066
"2029/2030",2030,120,120,100,40.9296302007839,156.076873951436,97.0948721127106,56.6557529545694,97.9374278481976,1641.15788561611,1368,1213.39678380102,1517.5,1326.5,1397,1320,74.2245156495837
"2030/2031",2031,120,120,100,51.1792386434724,192.662167662493,89.6062192040001,71.0732643394222,100.95683460121,1822.85665433004,1541,1310.01112630789,1713.5,1460,1601,1460,79.3994016765382
"2031/2032",2032,120,120,100,50.2459878363881,190.08768024787,82.3431626917335,65.662015441868,98.9370531309705,1910.19289962378,1638.5,1486.25358056733,1774.5,1604,1555,1601,81.3821344865182
"2032/2033",2033,121,121,100,40.9877293381526,135.732197620363,107.578935922322,58.9894912685899,100.267538163529,1513.58123563133,1190,1004.63076058245,1419.5,1104.5,1398,1104.5,69.4974919233191
"2033/2034",2034,120,120,100,35.1813856724642,152.085285603732,101.87047429767,54.1950154751947,96.8934782564586,1444.7407085603,1130,979.765536108072,1343,1058.5,1225,1047.5,66.2873300602805
"2034/2035",2035,120,120,100,36.0001964456279,128.541207473737,101.79770063274,51.4032333893696,95.184041746279,1505.16550094215,1266,1091.34323387869,1403.5,1224,1230,1209.5,69.7064932774538
"2035/2036",2036,120,120,100,49.6954753847986,167.490202091951,97.3625747635137,65.9263565981698,98.3821739023996,1824.82368239008,1563.5,1347.68155735778,1699.5,1488.5,1614,1487,76.5446420998305
"2036/2037",2037,121,121,100,35.9620466496079,132.844561201778,102.852939721312,53.4207805001968,99.8256393955484,1488.57997699601,1182,1015.23377793762,1347.5,1118,1270,1112.5,69.013494260872
"2037/2038",2038,120,120,100,41.1324045795359,141.108403497593,93.583466903927,58.5297103343269,98.0178402715723,1663.49195798986,1386.5,1224.96335076053,1569,1311,1401,1306.5,73.8334001448038
"2038/2039",2039,120,120,100,57.5486037679434,200.568486407577,80.5401308873882,68.352414540162,97.7384983705474,2138.98428295201,1913.5,1737.03045383472,1997.5,1899.5,1758,1899.5,83.6450667470936
"2039/2040",2040,120,120,100,44.1756303711328,169.578172051114,85.8965382558252,66.1702884745481,101.367777821268,1851.24977332048,1487,1285.09747492449,1733.5,1412,1617,1400,77.9733304261417
"2040/2041",2041,121,121,100,48.2023899134551,177.605378998775,88.1987632824343,66.5959178743835,101.562308353147,1897.92551610849,1563,1374.2358650492,1771.5,1491.5,1661,1491.5,78.5531560954196
"2041/2042",2042,120,120,100,46.097160535185,134.230417287454,94.6133151092229,56.9386088599565,92.9458550662732,1928.58693667327,1711,1618.3139266076,1774,1729,1505,1729,79.280455059602
"2042/2043",2043,120,120,100,35.386686094332,139.732823651115,102.448528386365,54.7678293224029,100.778426837016,1412.25167266023,1082,935.641928057623,1291.5,1032.5,1186,1032.5,70.6454734237659
"2043/2044",2044,120,120,100,56.3499029386166,188.961552575507,86.8972202429437,71.2626932218415,99.8473904307337,1924.98514788531,1639.5,1405.76815663999,1802.5,1570.5,1717,1560.5,76.7917078003911
"2044/2045",2045,121,121,100,42.7576264559573,144.413998078885,112.746860699509,60.2494482248133,97.8962871675225,1559.95831908641,1234.5,1046.05071825901,1449,1153.5,1432,1153.5,67.9272517584668
"2045/2046",2046,120,120,100,38.7116557064788,152.905821915271,93.5663596203972,53.7599405498549,96.5156008453913,1548.56582854039,1274.5,1112.40825401978,1397,1236.5,1258,1207,69.6447634350125
"2046/2047",2047,120,120,100,43.6096897141149,153.646871128953,110.872674178357,57.9281404828679,92.5939432512261,1673.70075895541,1395,1232.65336776619,1559,1352,1480,1347,73.2172993719678
"2047/2048",2048,120,120,100,41.7388594529692,136.812211254566,97.1048800509748,61.0408239476952,101.226450776089,1664.22029035832,1350,1159.76922824279,1539.5,1271,1473,1271,73.6233483773776
"2048/2049",2049,121,121,100,48.0232855720777,156.892118719118,98.1391895073618,62.9499058094399,101.108003525962,1640.61850666345,1411,1169.32447492856,1537,1354,1465,1353.5,73.7935191075994
"2049/2050",2050,120,120,100,39.3254728424096,138.280483817384,103.783994724045,64.4172693449762,104.065012063529,1489.37403339063,1072.5,852.940329514971,1365.5,959,1400,959,69.4288007915247
"2050/2051",2051,120,120,100,37.3717511453926,151.738406158217,92.4955958149283,57.5614122332799,100.149467967394,1547.34334012834,1233.5,1077.16356764886,1425.5,1151,1253,1148,71.8872787262371
"2051/2052",2052,120,120,100,52.8129151517188,183.258465692336,91.6566678055056,67.5233216476138,95.8817905677724,1906.54759031106,1668,1438.60487721833,1817,1590,1659,1578.5,77.067174049097
"2052/2053",2053,121,121,100,45.6922219675802,151.540479443732,91.5731011946891,62.6270664292431,98.7807946180328,1824.97052234595,1521,1371.82910016381,1691,1477,1540,1474,77.0656523280486
"2053/2054",2054,120,120,100,41.2200943931171,146.667554262992,86.0536586292026,57.7562380334963,98.0896701785292,1752.68171082431,1492.5,1336.51074345341,1648.5,1449.5,1413,1443.5,76.3246406443468
"2054/2055",2055,120,120,100,41.2213949812516,143.628713751603,93.9305869210438,59.1567519755594,100.071723628417,1688.73622931913,1372,1222.99949257706,1589,1331,1421,1331,74.9975098757377
"2055/2056",2056,120,120,100,40.2465754935723,138.154390643746,91.3076938287694,58.0330667460779,97.6156878197445,1579.92262068615,1253.5,996.923626404365,1424,1197,1387,1137.5,71.1711146308817
"2056/2057",2057,121,121,100,46.7670415635296,158.171195227122,103.869189841462,60.1875117166221,98.386411767972,1648.45899167476,1418.5,1207.12949567777,1558,1357.5,1456,1357.5,67.3742954624668
