"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.3069848568188,161.559762978269,96.1270146188865,56.0801562287325,95.8292126726404,1629.10602343654,1395,1251.51779701043,1514.5,1373,1350,1370.5,70.7511020315708
"2002/2003",2003,120,120,100,37.6695154810573,136.710050608002,110.492504951802,55.9113632799162,99.8056708559522,1365.23513712049,1064.5,824.979207143387,1258,951.5,1284,951.5,66.8695798995013
"2003/2004",2004,120,120,100,49.436672304118,190.419402455671,90.8348153403617,73.6727192731789,104.603522932733,1786.17194877294,1436,1172.51092743524,1671.5,1315,1680,1315,76.712383845689
"2004/2005",2005,121,121,100,41.5505708591986,187.949425105552,83.9265627975008,60.3079072928235,101.257019648342,1810.80341040029,1514.5,1345.45463079296,1693.5,1466,1547,1460,80.6297156014807
"2005/2006",2006,120,120,100,45.3287388921728,171.701773041368,97.9637231254863,62.8386280878236,98.3529567799831,1684.62107817426,1362,1171.1062061289,1551,1283,1481,1283,74.7308868241595
"2006/2007",2007,120,120,100,45.9395888144061,199.146817215098,91.6321832913046,63.5280418908056,100.892738276764,1595.51609938442,1261.5,1121.60340599719,1462,1213.5,1338,1213.5,71.5009436827094
"2007/2008",2008,120,120,100,34.8259504743054,138.872656205772,112.572637702154,57.2115239191496,101.296640293345,1323.75778323026,938,745.032062488776,1215.5,846,1184,846,60.2279179892753
"2008/2009",2009,121,121,100,48.5540058466016,213.248292591192,87.8942681399478,65.0148510987965,99.4932398009619,1777.04525652563,1502.5,1273.24777281375,1679,1398.5,1575,1393,77.5436100653369
"2009/2010",2010,120,120,100,48.2946519997625,183.225102350771,93.3995505626135,71.9553139294455,104.622779438788,1770.0464818379,1392.5,1117.14645156836,1670,1274.5,1626,1274,74.8920225915799
"2010/2011",2011,120,120,100,52.0275261940288,189.666552636488,96.0720039153463,72.9039483513366,102.77252619697,1771.27165356084,1406.5,1168.80800712377,1649.5,1312.5,1650,1312.5,71.7529807385158
"2011/2012",2012,120,120,100,35.2985349007422,129.173234398488,112.853218163102,51.1268983182849,95.4346462460261,1325.5786371281,1076,907.559823985254,1223,1003.5,1167,1001,65.6778925333695
"2012/2013",2013,121,121,100,44.6392282798736,179.512544489436,95.9276132725157,67.430089799605,103.753719461669,1671.66885835162,1299.5,1078.02971986713,1536.5,1215.5,1512,1212.5,73.7069039105832
"2013/2014",2014,120,120,100,29.4971598455698,93.514740925458,118.156340631873,41.5350539021023,92.6008462549353,1196.07347703816,957,873.450312852035,1090.5,923,970,923,62.663331003095
"2014/2015",2015,120,120,100,38.0845264220262,161.045551032233,97.0451294260729,58.4787485894935,99.2213892651431,1590.48379575775,1255,1069.50110362566,1486,1173,1395,1166,71.8601201921297
"2015/2016",2016,120,120,100,35.9483530357938,133.266031952646,100.228200304752,54.9486844400404,98.6498265055319,1474.43204597291,1123.5,1000.25687895149,1351.5,1062.5,1232,1062.5,68.6399374695829
"2016/2017",2017,121,121,100,39.7920357352725,161.50448580841,93.4970040068041,57.3265773958917,99.1992154226491,1543.7062597168,1253.5,1077.38176552685,1428.5,1191.5,1278,1187,71.9424655496164
"2017/2018",2018,120,120,100,31.9991835892702,123.068420749116,111.043445279445,50.8111489299805,97.2362751303132,1322.62667377546,1031,885.740824192198,1228,975.5,1100,975.5,62.7687967992806
"2018/2019",2019,120,120,100,35.0771150328927,121.353087268995,104.868804358618,54.1060494934636,99.6877631446165,1471.2918789283,1153,975.656303942671,1365,1092,1282,1087,67.0972420675243
"2019/2020",2020,120,120,100,48.0384048872556,185.442960042702,86.5466025306416,64.3033623741175,99.9304097258855,1785.76009139312,1475,1279.74246136592,1651,1431,1565,1419.5,77.3580601020035
"2020/2021",2021,121,121,100,31.4878205612925,136.416142775933,105.307466582154,56.0687033657849,102.763148235469,1377.37236402893,1035,855.2924448717,1261,942,1229,942,68.7203464139302
"2021/2022",2022,120,120,100,26.1409047352104,115.070359633055,104.017650614051,43.5606257883918,94.5212817025564,1233.16832898809,919.5,809.303534781673,1122.5,888,1000,862.5,64.4307686172147
