"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.0278829776891,147.86170884725,77.0518357506892,45.8452502037953,89.3032494341862,1709.38258683852,1542.5,1494.03699309856,1583.5,1556.5,1172,1529.5,79.0725670813779
"2002/2003",2003,120,120,100,45.5215050624435,164.78422349804,88.6456344274944,58.3740839906879,97.109557627505,1779.75095567275,1548.5,1403.64746223528,1654,1504,1496,1497.5,78.5695359346477
"2003/2004",2004,120,120,100,59.2984354759249,226.282664600377,72.574698297712,68.453658623847,95.712120328012,2132.74928837119,1900.5,1801.64346228504,1973,1935.5,1642,1930.5,88.1097763904409
"2004/2005",2005,121,121,100,47.0737860214316,183.35458034502,66.8612386151132,57.2016957346415,92.0141201434941,1981.49456858826,1786.5,1703.72166025405,1828,1813.5,1435,1780,85.5282061985994
"2005/2006",2006,120,120,100,44.895496806228,176.100647510172,78.0810665049194,54.2080177777174,91.8667932778444,1876.70596578845,1721,1609.12526060483,1764.5,1696,1473,1686,80.6136820791008
"2006/2007",2007,120,120,100,44.8946639509172,220.996053233397,73.1631581034341,55.4835274096788,93.7831422950544,1859.3122398919,1660.5,1552.69184663833,1747.5,1642,1391,1629,81.4462633042187
"2007/2008",2008,120,120,100,49.8711323892879,182.68937822078,90.1462112023518,64.7581498679694,98.3356032079128,1903.72889541949,1619,1401.73580579209,1795.5,1535,1667,1534.5,77.1453588211994
"2008/2009",2009,121,121,100,44.7048570488824,199.699721036025,70.0701426173116,51.7989492740373,89.9394115967422,1902.8292487254,1730.5,1631.92921906058,1744.5,1772,1381,1718,81.2396521058745
"2009/2010",2010,120,120,100,58.7618901670205,210.33060207327,74.6284892064232,67.4366974528365,95.6158412472354,2190.16697081215,1997,1802.16389896597,2047,1944.5,1801,1937,87.2398601692857
"2010/2011",2011,120,120,100,54.7128661836513,205.177289842048,76.6092195790941,63.2619601909369,94.8012825832655,2076.64008244693,1883,1773.283268026,1930.5,1877,1609,1872.5,80.8965767258655
"2011/2012",2012,120,120,100,38.5176472195054,143.439022740856,90.5037650789605,49.3457071107694,92.6155983271955,1607.5972232386,1388.5,1271.33043150569,1466,1365,1253,1343,73.5362340440404
"2012/2013",2013,121,121,100,55.7514629182091,219.504458314948,76.5060544443149,67.4124671383504,96.4865495048466,2042.9069132124,1815.5,1662.07077979474,1900,1803,1667,1785.5,86.2122467636896
"2013/2014",2014,120,120,100,29.8602688828398,113.055447566575,94.1526486649404,44.2549146594859,93.3897363094678,1401.29010959723,1204.5,1150.44289829658,1294,1191,1011,1183.5,71.4427487279777
"2014/2015",2015,120,120,100,47.7885395597206,169.156622231585,77.6999325228296,56.8242290187516,92.1579568410871,1895.2280269852,1733,1558.6797594588,1753.5,1711,1503,1678.5,79.5146439643531
"2015/2016",2016,120,120,100,43.2186353944182,152.422265815705,80.1103713965378,53.8206572912472,94.0076376466269,1768.62314488947,1607.5,1439.6627576217,1688,1564,1405,1558,78.7636876965091
"2016/2017",2017,121,121,100,43.0996171112541,174.077137650876,74.6392484357062,54.7591267191473,92.7690446814989,1804.94938857589,1600.5,1449.66957046043,1672,1592.5,1405,1537,79.8367588508968
