"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.2610715513877,173.586959606547,89.1853444525806,58.074725945857,95.7483225658981,1794.74453156982,1568.5,1443.98505012491,1668.5,1544,1460,1541.5,77.3720197369136
"2002/2003",2003,120,120,100,44.1250906197822,147.755852018914,103.186804888448,61.0043469053063,100.292871665073,1565.89417777015,1279,1036.13789603859,1459.5,1210.5,1409,1209,71.3949700344724
"2003/2004",2004,120,120,100,58.0595919644862,208.426608303748,84.7345538140249,77.3812931736923,103.001195911129,2009.82179460206,1711,1435.71975438281,1883.5,1630.5,1817,1630,80.9949766544779
"2004/2005",2005,121,121,100,45.0597243056054,180.907610052226,78.469576830531,61.9143898317878,98.7983686346981,1918.3887706549,1647,1505.26924659949,1774,1610.5,1571,1603,83.0117081599707
"2005/2006",2006,120,120,100,49.1760526798271,178.671969188645,91.3136190198076,63.9588921990221,97.1530311063148,1847.84293489313,1566,1385.14159968411,1732,1526.5,1566,1524,78.2347218730147
"2006/2007",2007,120,120,100,52.0169331516095,217.811136421291,85.2287846341584,66.6720434972114,100.316972564423,1806.82657738882,1494.5,1332.12455588578,1653,1444.5,1529,1444,76.4360276165371
"2007/2008",2008,120,120,100,46.1591558665511,166.205059431885,104.664607464221,67.0895871590647,102.049750685557,1613.49455043169,1215,971.713009752668,1505,1094,1529,1094,66.2686076979442
"2008/2009",2009,121,121,100,50.4885421331258,204.678396571844,82.1219479639686,63.0676891443137,96.7335870377346,1867.7518247504,1648.5,1447.25522311926,1738.5,1586,1542,1574.5,78.7619907825247
"2009/2010",2010,120,120,100,56.0573562569159,198.795066325772,87.136095042531,75.1823136381452,102.034252646773,1969.57083651589,1599.5,1374.81187378264,1857,1519.5,1777,1517.5,78.9672097434559
"2010/2011",2011,120,120,100,60.3852773156072,205.451922346607,89.6575548388167,76.2721494780669,101.001227678105,1984.30069719449,1689,1423.82582068109,1848,1585.5,1791,1585.5,75.2183064341175
"2011/2012",2012,120,120,100,37.8719186095986,133.06417808872,104.916711025977,52.5043673416386,95.5898564541528,1449.72345311407,1199,1047.43007667896,1362.5,1148,1228,1144,68.934143907059
"2012/2013",2013,121,121,100,54.1056437508203,201.056304394358,89.4322345934352,74.4591544583807,102.980067048553,1923.64016987495,1609.5,1342.31759404151,1819,1515,1724,1511.5,78.3535799796493
"2013/2014",2014,120,120,100,33.0956317782002,107.230710969676,109.691912837334,47.6914417513867,94.9438166080241,1377.48301735567,1109,1010.67859989013,1240,1073.5,1111,1073,66.5669884614908
"2014/2015",2015,120,120,100,48.4522499827749,179.175765575062,90.0393266391097,65.0969445189292,98.2758340578521,1837.49459291527,1564.5,1337.93900014531,1730.5,1479.5,1629,1472.5,77.018086756651
"2015/2016",2016,120,120,100,42.2377262578092,141.663878229559,93.4999253448274,56.675185269033,98.1649015392154,1641.95009051795,1343.5,1205.69609818013,1517,1278,1382,1278,75.0796897387986
"2016/2017",2017,121,121,100,46.5575645475734,176.323216570538,86.797548907738,61.6323704740892,98.8199636167593,1749.79037973234,1468,1291.89495652752,1635,1411.5,1471,1405,77.8640321325051
"2017/2018",2018,120,120,100,38.9863569981665,145.265046660359,103.271230306343,58.3119089432034,97.9994981650565,1536.68384624738,1228,1071.9438758028,1412,1164,1308,1164,67.4475407206328
"2018/2019",2019,120,120,100,41.8174133951644,133.950203673211,97.2633195928356,60.5015373884767,100.376017991447,1691.6689081767,1374,1198.92755042733,1571,1310.5,1510,1305.5,75.3557525289448
"2019/2020",2020,120,120,100,47.8209468196461,182.842550127044,80.8347681218873,61.6696310908112,97.4393710825166,1913.78265213584,1670,1514.64185053431,1771,1638,1591,1626.5,81.8749781312122
"2020/2021",2021,121,121,100,41.4705561120728,154.815890381752,98.2007057187382,65.9623877097504,103.078121685585,1618.6594903449,1293,1061.02840768554,1501,1201,1411,1201,74.374621766889
"2021/2022",2022,120,120,100,33.6743125609916,133.596815878875,96.2244343016713,50.4670864277616,95.5178320213272,1461.7457743283,1171,1005.82768761516,1357.5,1110,1246,1081.5,68.8184652373416
"2022/2023",2023,120,120,100,45.0828360613435,158.40823307152,90.2067327034095,66.6670865051078,102.59737325856,1854.81481930251,1491.5,1285.02364221397,1714,1404,1639,1404,75.5814067730867
"2023/2024",2024,120,120,100,52.811242402623,212.852259142556,75.7444873065264,68.8884837430455,98.5452512332428,2040.2041254121,1768,1552.86270746334,1888,1699.5,1715,1688.5,81.6954854696833
"2024/2025",2025,121,121,100,50.7435747138773,180.83942672945,92.0758105126436,72.2307945264918,103.280304120389,1914.45035193153,1563,1318.91464835461,1817,1471,1736,1471,79.5158594843078
"2025/2026",2026,120,120,100,27.8689747280849,127.732943644407,116.8984073815,44.1071580241662,95.0156681584205,1160.75102677087,863,754.259112606022,1054,801,998,801,61.0033552019395
"2026/2027",2027,120,120,100,51.5203250793544,195.685162534192,81.0770890367459,68.3978332135057,100.292545238816,1978.96413613656,1699,1501.92816980063,1852,1634.5,1710,1634.5,82.5437045023532
"2027/2028",2028,120,120,100,36.5799823565379,119.820800250254,109.046352793374,59.2411062207737,101.798901016852,1470.73725752629,1117.5,889.628406818632,1376.5,1020.5,1345,1020.5,65.630026386586
"2028/2029",2029,121,121,100,41.5468412841643,180.260811535231,88.1524430121057,60.6567656596792,99.8204680891698,1677.32656608064,1369,1194.09369653263,1596,1282.5,1432,1282.5,76.5771660943965
"2029/2030",2030,120,120,100,42.2928637283692,166.113540876819,95.5917248029654,58.7441733248896,98.2689157458552,1664.97259266739,1399.5,1230.19055452672,1549.5,1347,1437,1341,73.3895496569494
"2030/2031",2031,120,120,100,52.7734694193266,203.813186123639,87.7146766811592,72.9770858661397,101.663030889367,1845.50687118516,1557,1303.74371897859,1735.5,1465.5,1645,1465,80.1456647436744
