"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.4724191691064,146.204161701921,81.5341133422036,52.2466404903068,91.9350564806756,1882.59651128493,1685.5,1633.05403224323,1741,1706.5,1398,1697,81.472405202588
"2002/2003",2003,120,120,100,47.2452481458206,143.012052275495,94.6264046703248,61.1533661609006,98.1734608868377,1772.98412991498,1523.5,1339.45018502148,1651,1479.5,1528,1475.5,77.849083079152
"2003/2004",2004,120,120,100,63.2416570020041,202.370773109563,77.4130638523861,75.2353172633606,98.3826775520473,2229.465971176,1975,1810.92905107115,2065.5,1978,1848,1976.5,87.4282306831029
"2004/2005",2005,121,121,100,50.6826754191541,166.10650615486,71.4289526840492,62.7784195531639,94.4592986923752,2044.57590507945,1865.5,1727.55286337789,1932,1845,1557,1827.5,84.9790389615985
"2005/2006",2006,120,120,100,48.8481362759289,158.205758721088,82.808142585618,60.6739114626527,94.4617149752009,1966.21916673029,1782.5,1636.64931384975,1853,1747,1601,1742.5,81.704185496687
"2006/2007",2007,120,120,100,51.8199817603278,205.117206332894,78.0174863803582,62.3837514191924,96.1079999772114,2021.01776515596,1802,1671.79570969662,1873.5,1798.5,1575,1796.5,83.3626331184792
"2007/2008",2008,120,120,100,53.4124063824857,167.54908259363,95.1414311559142,69.05851258488,100.322054817065,1925.8913348635,1616.5,1361.41913537149,1813,1537.5,1741,1537.5,76.046642270212
"2008/2009",2009,121,121,100,45.6941720892912,170.796636810534,74.6422170881003,55.191495375508,92.6030976275802,1939.68211417051,1772,1652.39878827896,1801,1772.5,1438,1753,82.546027356811
"2009/2010",2010,120,120,100,61.984581243334,188.451754164371,79.1895114257367,73.0292563603319,97.8929606325836,2223.40555259909,2004,1774.13622646208,2094.5,1948.5,1910,1944.5,85.9485380063547
"2010/2011",2011,120,120,100,61.1985621645401,183.783666547024,81.1192109560868,71.6284808242317,97.759712909951,2185.90485048406,1963.5,1770.7447973108,2022.5,1942,1802,1940.5,81.1658281948105
"2011/2012",2012,120,120,100,39.1150311801625,129.4473566677,95.3674122808367,51.2409587835518,94.4879835713037,1620.81692193288,1375.5,1264.95422114635,1514.5,1344,1275,1339,72.6893643629212
"2012/2013",2013,121,121,100,62.1211326308528,205.139781930974,81.2253302989949,75.3247840893707,99.0131742208991,2175.52597157966,1903,1700.93084955102,2022,1875.5,1855,1867,84.7463167468525
"2013/2014",2014,120,120,100,34.5210068988061,109.632904032483,99.3319298985921,48.7848478467136,95.610685639721,1544.54642229539,1287.5,1219.83516617041,1402.5,1295.5,1166,1294,71.2240762117817
"2014/2015",2015,120,120,100,50.8884228946627,162.682379452784,82.0856734279442,61.6992032696658,94.7589996278885,2022.47915703549,1863,1674.88992733627,1891,1828,1661,1817,82.7148978278617
"2015/2016",2016,120,120,100,45.0174479284377,133.621453560472,85.0960376037166,55.8356378542901,95.809066071102,1804.23890704282,1598,1486.79693470147,1709,1568.5,1462,1568.5,79.7355728084376
"2016/2017",2017,121,121,100,44.3392267976375,153.70228023016,79.5168084128975,57.0473970814599,94.9076105538868,1884.17218653204,1665,1532.72613342419,1772.5,1640,1492,1622,82.1807773142182
"2017/2018",2018,120,120,100,47.9884978792667,153.658625366844,93.80189436468,63.1710967457903,96.6713915141877,1826.92687750162,1551.5,1373.01343969845,1716.5,1496.5,1542,1495.5,75.0026325741565
"2018/2019",2019,120,120,100,48.0187239778052,131.111148335125,88.5750796203319,63.5507408261893,98.0420174165669,1942.60311875091,1684,1512.81613788835,1790,1663,1581,1654,81.6583942207935
"2019/2020",2020,120,120,100,44.927105817456,149.447750455979,73.8815714461121,55.2075662635977,92.7186272050642,1979.61591464292,1802.5,1731.40704801438,1836.5,1838.5,1441,1814.5,83.860820455066
"2020/2021",2021,121,121,100,53.908814839728,183.850907038012,89.6991033616171,71.3496542778625,100.995173677654,1932.67265830048,1601,1405.22538184094,1817.5,1538.5,1724,1538.5,80.5090362383626
"2021/2022",2022,120,120,100,40.8043009620285,135.640631521318,86.8009124735386,56.246937093227,94.8936539700516,1695.12092452448,1460.5,1236.88091249377,1564.5,1388.5,1443,1347,74.3899458577562
