"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.9593627458664,155.053035473609,93.1862028341054,50.8048572803851,93.4013879748657,1646.00279064526,1448.5,1359.77997714575,1521.5,1435,1306,1429,73.7666432393893
"2002/2003",2003,120,120,100,43.1191394145275,143.848581916134,106.495243784007,58.6819166634613,98.8537059213805,1510.80590188583,1256,1000.5418668784,1415.5,1171.5,1369,1171.5,71.4080431348841
"2003/2004",2004,120,120,100,54.4197533862063,196.557753838692,86.9862005322697,76.2010147140715,103.565946071466,1900.18540086481,1564.5,1328.52733699899,1768,1491,1702,1491,78.9908336271342
"2004/2005",2005,121,121,100,43.8618264054901,193.223223108897,80.2957497660504,62.284274367571,100.192128809262,1888.6930642067,1608.5,1452.82356947308,1775,1573,1551,1568,83.2163816386388
"2005/2006",2006,120,120,100,44.4913958503357,168.644143899141,94.675776573897,59.6483310422488,96.1033736555362,1730.96082098721,1455.5,1305.37476273845,1602.5,1429.5,1422,1428,77.095235289979
"2006/2007",2007,120,120,100,45.1832064194867,199.171647132194,87.9817426550903,61.8956929461589,99.8715451592175,1664.63763977146,1336,1221.80442857419,1532.5,1315.5,1354,1315,74.164405854768
"2007/2008",2008,120,120,100,39.5645679127575,150.728052984591,108.435631865986,60.0536592439086,100.860278230697,1456.77127752273,1083,884.649820058358,1336.5,1005.5,1282,1005.5,63.68142345067
"2008/2009",2009,121,121,100,50.699591962013,217.815903916516,84.8189184989948,63.3761166911869,96.8741067525667,1853.66877468742,1643.5,1414.15635087773,1736,1572.5,1568,1558.5,78.6310129955859
"2009/2010",2010,120,120,100,51.9342656844746,192.254356258948,89.743056659885,72.4527628358604,102.853070815292,1903.22621002705,1562.5,1292.97534132389,1789,1475,1699,1475,77.9926291369866
"2010/2011",2011,120,120,100,57.777633458483,198.549748953131,92.170703103529,73.1875673001394,101.160782232754,1877.13840307872,1568,1335.6578729649,1740.5,1497,1673,1497,74.6567000041784
"2011/2012",2012,120,120,100,38.7999849237053,130.366952902552,109.552453331501,51.7657883890855,93.7708614258008,1396.21313167342,1186,1009.63110005384,1326.5,1125.5,1184,1121,68.0510385748853
"2012/2013",2013,121,121,100,47.0249896352165,183.479208714547,92.1914682257509,68.7650906602458,102.662017078716,1777.03667907507,1439,1230.24618665175,1648,1364,1565,1361,76.0586247756123
"2013/2014",2014,120,120,100,28.7041250271127,91.664600340113,114.044854680181,40.0030043369698,91.9383930697716,1254.25517451552,1019,959.137078452748,1123.5,1012.5,981,1011,64.1572678021439
"2014/2015",2015,120,120,100,41.7050995456997,166.061550392213,93.7485957592002,60.7309644729559,97.5963179157584,1704.74608571491,1408,1210.23468530047,1597,1308,1534,1298,75.7657555106166
"2015/2016",2016,120,120,100,38.8806989317573,136.937299135406,96.5242076745145,54.8286555811603,97.3291530920157,1545.39463077765,1233.5,1115.26880372869,1430.5,1160,1312,1160,71.6450891748232
"2016/2017",2017,121,121,100,42.5414910925818,166.169297538705,89.9205650057153,57.9216562122929,97.9606986093101,1623.83589158884,1357.5,1177.29384224332,1519,1300.5,1349,1287.5,74.0877155328062
"2017/2018",2018,120,120,100,30.8955004891558,121.867300838644,107.306299410692,49.8374319970947,96.5347053512434,1377.86629721985,1103,965.47197037516,1269.5,1037.5,1151,1037,63.4395993028079
"2018/2019",2019,120,120,100,36.0166527423536,124.099575171771,100.796088153287,55.5682192688199,99.4553618572271,1565.88500265565,1239,1093.56998955406,1438.5,1177.5,1324,1172.5,71.4667423357619
"2019/2020",2020,120,120,100,48.1790424003368,181.135180562735,82.9677515846914,63.3063227663115,98.5100765105038,1865.96853449731,1607.5,1411.03117569881,1719.5,1581.5,1542,1567,78.5831906901672
"2020/2021",2021,121,121,100,37.8502081240813,146.197553496231,101.892242172424,61.1697950634631,101.682218839553,1538.91413054058,1218,1024.57526293463,1416.5,1145.5,1360,1145.5,71.4151816851804
"2021/2022",2022,120,120,100,27.537082401719,113.415599368021,100.159837844001,43.1120148300156,93.2790499794522,1267.70756634035,1001.5,865.994628421697,1146,960.5,1027,921.5,64.686864749242
