"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.7632749151749,164.157334229204,85.8098838543799,53.5077918704751,93.90124360802,1746.3964714185,1523.5,1438.84341129533,1624.5,1524.5,1313,1514.5,77.7679679362109
"2002/2003",2003,120,120,100,44.5299341933931,152.030970498347,98.8775885106479,60.8989150428766,99.7808703936125,1610.12584899198,1337,1126.25189702972,1512.5,1269.5,1414,1267.5,73.0722075439258
"2003/2004",2004,120,120,100,57.2351999224264,209.40326429513,81.4952318708822,71.2195068158131,100.133758210922,2010.3456792883,1730,1539.69058414341,1865,1694,1696,1693.5,81.76092837276
"2004/2005",2005,121,121,100,42.516997034543,169.585946343868,75.910709941393,55.2411784228119,95.2533174171939,1840.29832482872,1639,1534.70077688383,1711.5,1626,1362,1614.5,82.3831382255627
"2005/2006",2006,120,120,100,46.6643743938811,172.483091354945,88.6210688466099,59.5410708749365,93.9091519782628,1848.5197129946,1607.5,1486.32210173414,1732.5,1591,1489,1585.5,79.1693170552271
"2006/2007",2007,120,120,100,44.2053932072135,202.716379125762,81.9392515828604,60.5780649186887,98.6858559206821,1753.45464615655,1457.5,1345.64233445433,1596,1430.5,1376,1425,76.599960035109
"2007/2008",2008,120,120,100,46.5675384123751,174.205598084929,100.895299048427,66.5701963822147,101.028839623597,1704.02690209248,1311.5,1095.21940091107,1590.5,1200.5,1557,1200.5,70.3365926621539
"2008/2009",2009,121,121,100,47.4272169257093,198.11674567489,79.7262223080962,58.1912860975049,93.8505940429601,1810.40472708331,1604.5,1446.79487872208,1690.5,1594,1428,1568.5,77.2399086821943
"2009/2010",2010,120,120,100,53.9517951970564,190.134023434604,84.2537906006426,69.4757003688377,99.19891602402,1949.49698624605,1653,1471.95250248461,1809,1593.5,1658,1589.5,79.741806730143
"2010/2011",2011,120,120,100,60.0661450721463,205.105250398405,87.3235522051217,70.0759761969875,97.180352031918,2001.65633221321,1772.5,1568.85204947247,1865,1722,1710,1720.5,77.2825195556798
"2011/2012",2012,120,120,100,36.7382061183845,129.402331850011,101.273947399585,50.4979680471872,94.4341092392522,1463.53709611577,1226,1079.64293834294,1370.5,1168,1202,1158.5,70.6642804747923
"2012/2013",2013,121,121,100,52.9175839152461,201.609000965832,86.5844927727221,69.2432198317271,99.5493714970806,1942.07265587943,1661.5,1472.33425116854,1808.5,1611,1657,1604.5,80.8397687815661
