"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.056201504356,148.618848852134,81.2658960266598,50.1993286329705,91.4818604867597,1805.29681788662,1599,1549.02678484923,1680,1626.5,1308,1610,79.9095040697206
"2002/2003",2003,120,120,100,47.2133717241163,153.543484302871,93.3601651700665,61.6465532550568,98.6655549294788,1772.49900117974,1502.5,1337.92700008938,1673,1461.5,1574,1459,76.7536645453205
"2003/2004",2004,120,120,100,59.1350681604433,205.014537464238,76.9624177286843,69.9726918981342,97.7426280479391,2151.97502247292,1907,1760.95583152624,1980.5,1895,1719,1892,85.6749502835531
"2004/2005",2005,121,121,100,45.8902515849266,163.696410944847,71.0912893292075,58.1637957349039,93.5662075296993,1954.20935681636,1773,1663.48014097015,1825,1749.5,1452,1728.5,84.6081936356987
"2005/2006",2006,120,120,100,47.006077229451,167.748596999588,82.9923639323641,56.8626977660499,92.9521875466858,1916.893318642,1728.5,1620.87240682138,1796,1711.5,1535,1704.5,81.3049163520479
"2006/2007",2007,120,120,100,47.2064416738389,203.886689189422,77.4867608624833,59.249320552437,95.8094236392757,1908.62474869089,1680.5,1548.69824337582,1766,1659.5,1433,1652,80.894109958869
"2007/2008",2008,120,120,100,51.8932747517695,176.869801515749,94.9087119431346,67.9311535598695,99.488988495219,1896.43213418236,1588.5,1340.22705066855,1804.5,1485.5,1729,1485.5,73.9044797399722
"2008/2009",2009,121,121,100,47.3306952974214,187.644371465856,74.4542046962286,55.4382043191058,91.6228409205251,1900.81648500048,1733.5,1606.26517672054,1753.5,1744,1434,1705.5,77.8668692345707
"2009/2010",2010,120,120,100,60.1560126744411,194.508042836961,78.8428464787835,70.3074600721042,97.3347489700862,2158.34985503694,1924.5,1722.41645947506,2017,1873,1823,1868.5,84.0485319657771
"2010/2011",2011,120,120,100,57.628280911017,194.784478987142,81.3516204881922,66.4646703644859,95.8442022529998,2106.76553927863,1905,1755.65186540226,1966,1909,1711,1907,80.4538162331821
"2011/2012",2012,120,120,100,39.3279365155287,135.179422887442,95.1472194766112,51.4326033242074,93.8616246551294,1597.24544687607,1348,1216.08852159873,1465.5,1310,1301,1291,70.9550503398964
"2012/2013",2013,121,121,100,56.2696546236522,202.078277668109,81.1949925954001,69.337681482678,98.077152760231,2071.57970691656,1806.5,1646.55995634396,1934.5,1787.5,1736,1778,84.6236306244325
"2013/2014",2014,120,120,100,31.8829830079164,108.707230769842,99.9403159091884,47.0788139929095,94.1960240770284,1458.87198760892,1209.5,1143.21897615029,1334.5,1200,1091,1193,69.8382489673954
"2014/2015",2015,120,120,100,48.9614119243432,162.89764071785,81.8719633919148,59.5701634712539,94.1217079220348,1926.78944478753,1752.5,1541.65507298451,1799,1706,1571,1683,79.0602340128348
"2015/2016",2016,120,120,100,44.0384412406246,139.676034070619,84.8318569659167,55.3741225994746,95.1532175578454,1760.07500943058,1575,1401.45065934829,1696,1511,1434,1511,78.441485240076
"2016/2017",2017,121,121,100,45.8991245412844,167.654633928375,78.8455685392405,58.1750519715263,94.8428875486383,1847.71271788678,1607,1460.15450997624,1721.5,1584,1502,1547,80.55828665223
"2017/2018",2018,120,120,100,41.2636133133308,147.091506063399,94.0551023484932,58.1136180975606,95.7287894339604,1699.68691428805,1416,1260.80535250902,1579,1364.5,1388,1354.5,74.2008470328033
"2018/2019",2019,120,120,100,44.1788040998474,132.887621802057,88.1845828605138,59.6404070558746,97.4868122476486,1848.14765624963,1566.5,1443.949688015,1694,1560,1450,1548.5,80.550153751396
"2019/2020",2020,120,120,100,45.3526939292003,157.446054830046,73.0746154419571,56.6535055019012,93.0246639408871,1967.12532355907,1789.5,1690.20647382856,1819,1826,1449,1797.5,83.8153827031028
"2020/2021",2021,121,121,100,51.7699158049318,183.636559345631,89.2259714970433,69.9722969811111,100.827746883546,1864.21855295962,1524.5,1364.5786443974,1734,1487,1589,1485.5,78.8196447531527
"2021/2022",2022,120,120,100,37.8343593993883,129.950119587545,87.5557758367875,51.1789600311939,92.612054458173,1575.71999987123,1335.5,1124.92150398151,1421.5,1301,1319,1228.5,70.5356081574209
"2022/2023",2023,120,120,100,46.5823873392019,151.681584377096,81.8737704410181,65.1092313736323,98.6862702036988,2030.38539031586,1759,1574.6066799249,1920,1706,1683,1703.5,82.4117210748154
"2023/2024",2024,120,120,100,48.2456896907062,186.091724712213,68.7813159591684,59.4597678580747,92.5108837693979,2069.47114935549,1884.5,1730.34592789589,1941.5,1861.5,1590,1825.5,82.8409091396479
"2024/2025",2025,121,121,100,57.3897346877957,182.03173214649,83.3064802945718,70.4162693228413,99.0910051636855,2115.09116543739,1872.5,1678.46461469229,1977,1827.5,1817,1825,83.8104021460153
"2025/2026",2026,120,120,100,31.8438606183851,127.968624409068,105.987921967649,47.5404863760584,95.6996659363086,1394.68743209139,1118,969.619413685035,1292.5,1054.5,1215,1051,67.9189241180302
"2026/2027",2027,120,120,100,48.0804652845739,179.269676558776,73.5334843351164,61.1993076029753,95.5077428182805,2072.61402635802,1882,1753.79442198964,1930.5,1846.5,1598,1842,86.5686987054692
"2027/2028",2028,120,120,100,48.6705397790335,138.825403306338,98.6040440770206,64.837308663703,100.513429021687,1753.65997651787,1439.5,1237.75737876925,1631.5,1377,1564,1377,73.7013786121411
"2028/2029",2029,121,121,100,43.4075892942382,178.832338937495,80.260870678966,58.1218526151644,96.1953851378667,1802.04410395063,1574.5,1356.23196818589,1688.5,1497,1507,1477,77.8811327196977
"2029/2030",2030,120,120,100,41.2621526831691,149.93040068347,86.5396580640145,55.7857751504796,95.5788194553727,1786.99541838327,1548.5,1435.3100612615,1637,1549.5,1349,1534.5,80.8408228996122
"2030/2031",2031,120,120,100,57.8208853428246,212.555522408121,79.6885645347041,70.0134834041069,97.0644906691693,2007.49401651429,1782.5,1601.85658228223,1866.5,1736,1672,1732.5,84.0331085640228
"2031/2032",2032,120,120,100,50.0480303763079,194.269763192403,73.2192581155176,61.1160402238884,94.5145139679666,2014.92797929853,1832,1725.03985450391,1864.5,1829.5,1536,1821,85.3838477922845
"2032/2033",2033,121,121,100,45.8976834107895,154.617763213511,95.9188944084771,61.3745555026316,99.0347624143443,1755.36116696632,1515,1322.77233464175,1631.5,1451.5,1483,1451.5,76.7311975072762
"2033/2034",2034,120,120,100,41.7642345895922,168.416242692671,90.9563294008185,56.2041431760743,94.6018178722894,1672.4786798883,1391.5,1212.51520881434,1547,1326.5,1434,1297,70.8253451881674
"2034/2035",2035,120,120,100,39.3191635466771,135.516883412977,90.4528004918455,53.0417841613636,93.41840945234,1635.62215216096,1406.5,1245.80893647844,1522.5,1373,1327,1338,73.9587992375691
"2035/2036",2036,120,120,100,48.2098675259346,164.662618647949,86.9627217277827,59.8612785505806,94.4879035932642,1912.06261937301,1682,1573.85599060802,1759.5,1690.5,1477,1683,82.4229211360926
"2036/2037",2037,121,121,100,43.0406980370346,155.043017489868,91.66344755975,60.1651810769275,99.1606096030688,1764.91129759478,1444,1287.19466857821,1639,1408.5,1451,1394,77.6050009530118
"2037/2038",2038,120,120,100,47.3531733816155,155.124278344531,83.1356132898947,59.1447520893119,94.7351965225783,1853.45651894032,1659,1495.04266113691,1744.5,1597.5,1501,1586.5,80.0495746129991
"2038/2039",2039,120,120,100,45.2437973264247,167.105471843744,71.7196843295227,55.1211739150371,92.5434348818337,2113.49791268242,1936.5,1915.6199312436,1964.5,1998,1509,1997.5,89.151102220053
