"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.6149069760581,175.373714021877,76.9043195121735,55.205127282638,92.0080386560078,1910.90226077164,1731.5,1632.61864145536,1764.5,1734.5,1457,1716.5,83.9297208665458
"2002/2003",2003,120,120,100,49.4296712822063,168.975975054043,89.4712731755131,65.3835503401543,99.2991656542422,1828.81457074896,1554.5,1370.14823905973,1721.5,1502.5,1610,1499,78.9081444406915
"2003/2004",2004,120,120,100,55.8325120959079,208.120198080157,74.3159123930514,66.2380153965915,96.0515119974002,2104.19429970611,1888.5,1760.08503211979,1943,1890.5,1658,1880,86.3282161598036
"2004/2005",2005,121,121,100,43.8863576362658,165.451670529493,68.8601906918648,55.9940177820363,91.6716775369588,1885.42026419044,1702,1603.26343029038,1737,1720.5,1364,1662,83.8655026359761
"2005/2006",2006,120,120,100,48.8802708774185,174.951687604371,79.2613526480169,57.2137967821235,92.3718907989725,1967.45738958364,1819,1705.97326276202,1836.5,1818,1518,1811,83.7043638596608
"2006/2007",2007,120,120,100,47.9006930688725,216.395479337425,74.4795725434891,58.529136218857,94.6283183821241,1915.92722985118,1676.5,1585.56220274533,1770,1683,1431,1670.5,80.827669625729
"2007/2008",2008,120,120,100,53.7767140138805,184.551861382229,91.1319527024368,68.0777108786908,98.8380479694156,1952.99327806501,1677,1449.05001481532,1848,1621.5,1732,1621.5,75.8684874499766
"2008/2009",2009,121,121,100,47.2578510564795,194.073761033157,71.3769158618926,56.3685766671594,91.2453441771127,1906.06983091731,1731,1573.82341833038,1757.5,1748,1431,1694.5,79.297038728467
"2009/2010",2010,120,120,100,57.534297590296,202.196898927743,76.0615383626053,67.7363458169089,96.0112012343478,2143.71656993927,1913,1741.72832276241,1981,1899,1747,1884.5,84.1691312101286
"2010/2011",2011,120,120,100,55.966184064898,199.893901271362,78.6632058285539,63.7324320806013,94.387651367028,2091.20540746109,1916,1779.99248747308,1953,1917,1665,1913,80.9815804176542
"2011/2012",2012,120,120,100,40.5215521124489,142.082987984699,90.4374852256668,52.9498603497387,95.0864160828532,1643.6027810419,1401.5,1271.96931531779,1528,1369,1338,1356.5,74.9303807962715
"2012/2013",2013,121,121,100,55.9419473788269,212.052122548832,78.1938280098791,67.6782291788729,96.8349919094381,2087.17824153094,1858.5,1703.69229589844,1959,1837.5,1697,1825.5,85.1920438110424
