"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.3610949569434,161.216574880678,84.4687603238308,56.6627367355565,94.0375112929166,1873.99811014899,1660.5,1567.58777142133,1747,1650,1454,1645,79.30694920068
"2002/2003",2003,120,120,100,46.3375938811367,145.044913757748,97.9820646998165,61.9186380161277,99.495772968171,1697.74602821666,1437.5,1214.70198174259,1562,1357.5,1483,1355.5,75.6868770210545
"2003/2004",2004,120,120,100,61.6347481606648,206.104062700325,80.5874123360146,77.0206036255704,100.212916249939,2156.52904215242,1895.5,1664.63384736645,2002.5,1851.5,1847,1850,84.6173396753935
"2004/2005",2005,121,121,100,49.2324577806738,171.951398680245,74.1706915100785,64.7696466395448,96.9327739447163,2045.92653170954,1813,1656.95188479496,1891.5,1797.5,1594,1781,86.9643805938979
"2005/2006",2006,120,120,100,50.7812589718908,174.337112454814,85.626467763136,64.4306051332548,96.8230826724393,1962.93773220219,1716,1545.04718300786,1839,1678,1652,1676,81.1535996826065
"2006/2007",2007,120,120,100,54.3225349223693,217.745051115953,81.0949979840418,64.4859705793157,97.4541545935214,1974.36347041461,1728,1576.01998901845,1838.5,1718,1616,1716.5,80.3544885697831
"2007/2008",2008,120,120,100,52.109083481137,168.59023798905,98.8845373432264,68.4222605687624,100.81749130173,1805.93273967814,1498,1217.10719146964,1702,1385,1670,1385,72.4247889281094
"2008/2009",2009,121,121,100,48.7368250919062,188.49397413157,77.2067346895139,59.896396739533,95.2810368561017,1961.3341755552,1766,1593.7335996214,1819,1720,1536,1709,80.8520938664667
"2009/2010",2010,120,120,100,62.1898196582756,201.533701022786,82.1117417039059,76.74080448087,100.359016066065,2182.05434340207,1897.5,1636.66517163301,2057.5,1815.5,1975,1811.5,85.2076790930544
"2010/2011",2011,120,120,100,61.5508094749371,196.169560814018,84.1828455600764,75.6728337824462,99.9228672391432,2132.83258801269,1860,1629.38541096224,1980.5,1806.5,1840,1806.5,79.6296462428218
"2011/2012",2012,120,120,100,39.4258608299612,134.896864097167,98.7413684109349,53.5644623815979,95.8424290985168,1578.93689799573,1327,1181.52207109242,1469.5,1275,1290,1271,72.1039435256998
"2012/2013",2013,121,121,100,60.2683017923397,206.707371403427,84.2836124885075,77.352426093372,101.411090998711,2094.50717245481,1791,1548.25656640806,1957,1728.5,1824,1722.5,83.0945939650571
"2013/2014",2014,120,120,100,35.5673143585501,108.726571262546,102.853200084453,49.5795605117994,96.139572587273,1487.40467750391,1233,1129.61487451142,1353.5,1218,1171,1216.5,70.8584903712765
"2014/2015",2015,120,120,100,49.628450794535,173.920921389379,85.1507280091177,63.1387072249411,96.823160584025,1959.35370736899,1728,1533.11950694194,1853,1671,1703,1662,80.3876676518489
