"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.885064046298,134.080071939232,77.2490044818255,44.4228095176968,88.8919074652254,1733.91128424168,1552.5,1547.98903459358,1591.5,1599.5,1136,1577.5,81.1743957987699
"2002/2003",2003,120,120,100,45.6923671592311,152.568062448495,89.1060658628936,57.2274339496647,96.35497871195,1785.37373376065,1576,1429.0471245611,1680,1551,1494,1543.5,78.1814950668398
"2003/2004",2004,120,120,100,63.09236435968,224.22527187409,72.6766338265827,70.0030109565028,95.7003450648512,2195.12980662587,1959,1856.57729818239,2023.5,1986.5,1716,1981.5,87.762972412939
"2004/2005",2005,121,121,100,51.3559164268846,187.931290184868,66.7930474523353,59.9579508430167,92.1569671280129,2057.66995445236,1879.5,1776.07162506333,1912,1881,1537,1854.5,87.5381943625921
"2005/2006",2006,120,120,100,45.064782846411,170.136104667123,77.9585194126641,55.337031096845,92.4687977117702,1899.12002694694,1730,1627.16651178193,1789,1709.5,1504,1698,81.8192873311129
"2006/2007",2007,120,120,100,46.079204149183,212.798676768896,73.3285171527757,55.6642953221296,93.6271526163438,1933.56740406835,1754,1647.67865357616,1798,1741,1423,1732.5,83.1486483282888
"2007/2008",2008,120,120,100,49.6957037237578,178.10834282491,90.1235385853041,65.2526145827309,98.5660113868175,1932.75699150721,1635.5,1433.44433391826,1809.5,1562.5,1691,1561,78.148464551747
"2008/2009",2009,121,121,100,42.3574414801651,184.537872567672,70.0697030214613,50.9889941510715,90.1516713502056,1913.72925447275,1730.5,1660.04103752244,1756,1782,1365,1738.5,82.0201158501416
"2009/2010",2010,120,120,100,59.6804848297936,203.178538257147,74.5466631999802,68.1588855723324,95.590382349008,2235.40702170624,2044,1865.8106905728,2089.5,2023,1840,2016.5,88.0423759478867
"2010/2011",2011,120,120,100,57.1285707184085,201.823622947628,76.238314853701,65.574048562339,95.4652192301721,2143.88379990752,1941,1822.97846257076,2003.5,1952,1696,1948.5,84.2057459289576
"2011/2012",2012,120,120,100,37.6266505815014,135.754799414069,90.6967962443278,48.5196757929742,92.3014111147377,1613.65202873995,1394,1288.57322885837,1475,1371,1234,1351.5,74.5864574813231
"2012/2013",2013,121,121,100,59.2180285430201,219.953771788971,76.3844231219571,69.4038448750881,96.7768861201294,2115.50392914251,1891.5,1733.39236720965,1965,1894,1726,1878.5,86.5341489077791
"2013/2014",2014,120,120,100,30.0595514638679,110.189568644409,93.7470596118397,44.2771217894368,93.9114532001968,1457.07923651744,1247.5,1206.70547504591,1330.5,1242.5,1035,1237.5,72.8343510327259
"2014/2015",2015,120,120,100,48.653113059237,164.390771113418,77.7256824007281,56.8434029875931,91.7459975272319,1947.07148805741,1821,1660.1041889801,1824.5,1814.5,1528,1792.5,80.1544627969067
"2015/2016",2016,120,120,100,43.4817928631639,146.133628555263,80.0714323373961,53.9266739332247,94.1830163490865,1796.22120312211,1656,1506.96726126958,1735,1601,1412,1599.5,79.9422594904627
"2016/2017",2017,121,121,100,41.0646540108213,160.578071263976,74.8891207973638,52.1986740315891,92.4557864464964,1823.58471110671,1641,1501.58773852595,1697.5,1608,1392,1567.5,80.2880980430518
"2017/2018",2018,120,120,100,45.3451202922267,156.970502532289,88.6087809647805,60.1173582010293,94.7955845606897,1779.40454919766,1526,1373.76606161916,1650,1476,1435,1466,76.3678574184369
"2018/2019",2019,120,120,100,47.852594675854,143.125702998816,83.8999444641588,61.2038184710788,95.9602122391783,1931.1641844446,1685.5,1561.23019701086,1779.5,1694,1501,1680,83.6156611368019
"2019/2020",2020,120,120,100,43.5302835085828,164.084619953268,69.2015005141616,53.3602623183491,91.027363878831,1956.54539062439,1793,1728.76830662561,1797,1843.5,1395,1806.5,84.8280505783241
"2020/2021",2021,121,121,100,54.6437757311303,203.5075511595,84.7214387821217,70.1137357386908,98.7072404393174,1953.27823791815,1684,1508.57489143513,1830.5,1629,1650,1627.5,83.023463826406
"2021/2022",2022,120,120,100,39.3796695517068,139.599264326382,82.2859547577603,54.1364400017237,93.1327620158301,1638.71959156355,1394.5,1178.90165006639,1471,1367,1339,1291.5,72.6739306460013
"2022/2023",2023,120,120,100,49.3533847366442,162.54858037361,77.5211307784256,65.4879501851839,97.3296920717906,2072.61947560469,1829.5,1663.59302969165,1934,1789.5,1645,1787,84.0686327783501
"2023/2024",2024,120,120,100,46.3574343411422,187.954589033084,65.2171827543214,55.1986522066646,89.9525214533748,2064.89585461048,1908.5,1776.41101782009,1918.5,1917.5,1534,1865.5,84.9032455857709
"2024/2025",2025,121,121,100,54.6378881360148,187.283076007727,79.0701259910615,65.8665714661549,96.9686484463126,2118.91517158094,1913,1748.75775796321,1964.5,1896,1710,1889,85.2908308909332
"2025/2026",2026,120,120,100,33.2303480173923,142.806012773896,100.757628821472,47.9746558150485,95.0485078315472,1447.3530458153,1182.5,1056.07458266265,1328.5,1141.5,1214,1137,71.1485472495874
"2026/2027",2027,120,120,100,47.9024122885869,192.240168172154,69.5687301634376,60.1021023691326,93.9659702538836,2076.28036788425,1891,1775.65088894122,1919.5,1896,1587,1874,88.24147286475
"2027/2028",2028,120,120,100,53.0814306065484,155.461923345273,93.108489221153,70.4786153708968,101.325586807243,1919.19916953014,1597,1363.67002991795,1781,1507,1717,1507,78.9466217499221
"2028/2029",2029,121,121,100,47.4614361521663,194.92907771105,75.7493425524519,58.7578753326736,94.1402663021637,1887.02689539069,1719,1507.13076801529,1773.5,1657,1543,1637,80.5857815020609
"2029/2030",2030,120,120,100,39.9460921825339,150.002828297953,82.7450002758116,52.3671589122326,93.2019697717798,1742.96844083129,1508,1429.78074844564,1593,1521,1261,1494,79.4825077853484
"2030/2031",2031,120,120,100,56.4839419003027,210.960909070317,75.4133877387172,66.6391472586456,94.8187391212628,1956.38461382996,1748,1607.84941823762,1822,1749.5,1551,1731,83.3725028729364
"2031/2032",2032,120,120,100,50.6870830207034,204.161096173095,69.1953265772414,58.9705970107022,92.3379885818847,2046.30517731683,1898,1822.98600620901,1908,1906,1532,1895.5,87.6296667500619
"2032/2033",2033,121,121,100,47.3964071015411,160.937260250713,90.8587971790624,60.827043812841,98.3872804790833,1798.25662937935,1556.5,1397.40558029339,1670.5,1512,1509,1512,77.3409254109838
"2033/2034",2034,120,120,100,45.1917725123652,183.135080914078,85.4128530089491,58.9314310194203,94.201410359596,1764.7807836486,1516,1329.17477007959,1636,1459.5,1482,1432,75.6116961672642
"2034/2035",2035,120,120,100,41.2855695107338,144.323947579705,86.1126836873658,54.6090561044252,92.4361152894353,1693.36558687314,1439,1280.73556804617,1577.5,1422,1370,1367,73.3853946075951
"2035/2036",2036,120,120,100,46.841365750646,169.088880515737,82.3498321627886,56.818835389389,92.7958003753229,1919.42348454578,1714.5,1632.83613197288,1778.5,1731.5,1426,1725,82.8126434563701
"2036/2037",2037,121,121,100,48.3152323006733,175.145578240368,86.2441217802892,66.3756076695982,99.5493139320731,1883.80477621693,1561,1403.59661233884,1754.5,1525,1606,1508,81.0890660520317
"2037/2038",2038,120,120,100,47.6926834228069,164.458338855362,78.2513987654251,60.4660367856266,94.5962315930765,1915.48765372115,1695.5,1561.49017300919,1810,1662,1525,1652,82.2332232718663
"2038/2039",2039,120,120,100,40.8896406002806,157.633428941451,68.1333336878857,49.9923078114239,89.8706161750833,2036.43754618904,1892,1906.11351711327,1904.5,1963.5,1403,1951.5,89.0239203454748
