"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.9438069155212,141.61565549492,72.718755720472,46.0837126092618,87.8140755770543,1794.20709029687,1648.5,1607.18538903327,1626.5,1654,1222,1622,80.6434811242023
"2002/2003",2003,120,120,100,46.9153689989145,161.972860691377,84.1903710589075,60.244578938165,96.5382087593828,1889.39676658644,1658,1527.86292062292,1747.5,1635,1535,1628.5,81.7873079324531
"2003/2004",2004,120,120,100,52.4866534151722,195.624644695292,69.4894643724259,59.2834815195524,92.1019580589746,2107.7372916755,1931,1900.31655023705,1944,1977.5,1538,1963.5,87.7286627229977
"2004/2005",2005,121,121,100,42.8646925785066,154.982093927497,64.2951070879274,50.7939631912867,87.9162945405779,1868.47782564555,1725,1667.59207274837,1717.5,1755,1274,1691.5,83.5780134978983
"2005/2006",2006,120,120,100,43.0394632592617,146.270863085495,74.2215271996193,49.5512859838877,89.2735774583787,1908.03064356813,1826,1754.43077107392,1776,1841.5,1342,1830.5,82.7060002518419
"2006/2007",2007,120,120,100,41.7993814848046,198.336513317329,69.9244514884228,51.4662547551837,91.2997728410076,1887.6919098024,1712,1653.0300289353,1787,1713.5,1389,1696,82.0774968333282
"2007/2008",2008,120,120,100,51.1805358887791,167.937004995493,85.5606305018484,62.4610091475041,96.4599899314808,2026.98494377379,1797.5,1626.98521430359,1876,1777,1702,1775.5,81.6468698471001
"2008/2009",2009,121,121,100,41.5090622093947,172.091199733775,66.992663749303,47.9010133296291,87.1793873360757,1866.58275911187,1724.5,1638.80306745381,1699.5,1772.5,1310,1693.5,81.8869008118681
"2009/2010",2010,120,120,100,52.0371203484923,181.121283514822,71.2420813493776,59.6895406314036,92.2736104481126,2164.99096813455,2011,1906.8439161842,2001,2040.5,1619,2025,87.6971596787203
"2010/2011",2011,120,120,100,49.1120825451928,171.946599396499,73.4885292130266,55.4463235465569,91.2230367065958,2071.81790256465,1932.5,1899.45000221253,1916.5,1979.5,1493,1973,83.6010580012271
