"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.6955502871965,133.760002746316,78.4110703709459,47.8442799645622,89.7150045016423,1791.03051086967,1606.5,1584.85861897346,1651.5,1626.5,1249,1608.5,81.5218169861768
"2002/2003",2003,120,120,100,46.3623294858675,147.912256481491,90.3310446337183,59.6189066005285,97.3466861107284,1822.8063186851,1585,1436.34054210595,1692.5,1530,1540,1525.5,80.1238088806395
"2003/2004",2004,120,120,100,58.4915963283142,201.267356754799,74.1592954035134,67.8131853949778,95.7492723608949,2188.85545243083,1960,1865.66854061379,2017,1991,1705,1989,87.9958209411998
"2004/2005",2005,121,121,100,45.6296065218588,156.871584158064,68.5499317486476,56.0982732139219,91.6527297354355,1968.22069492294,1806,1716.92380358827,1830.5,1810,1418,1784,84.4900626666859
"2005/2006",2006,120,120,100,45.6526713408725,153.12573975976,79.9885395102427,54.2092865660085,91.5826716804276,1915.22160587665,1784,1676.53485196407,1803,1754.5,1503,1745,82.3521279484919
"2006/2007",2007,120,120,100,45.7282604570563,197.166549478508,74.7585620636413,57.0365348690856,94.2126224131545,1938.70217997385,1729,1631.95856428595,1804.5,1726,1445,1717.5,82.9996106337177
"2007/2008",2008,120,120,100,51.673132955362,166.780568210865,91.5592726364392,66.595047875237,98.6205448924518,1975.04297524336,1704,1468.67208290671,1855.5,1628,1744,1628,77.8715061831419
"2008/2009",2009,121,121,100,44.7516420936088,173.514084665038,71.8005068428545,51.5824904360281,89.7279500854089,1900.54189013681,1753,1660.778415243,1749,1773.5,1380,1734,80.8127159933499
"2009/2010",2010,120,120,100,57.9915056645179,184.044213167806,76.1513547238744,66.2852353099948,95.3686565960182,2194.19722901501,2018.5,1832.35535236303,2061.5,1978,1787,1971.5,86.532685959776
"2010/2011",2011,120,120,100,54.669968810808,179.471069809567,78.2956722804205,63.1063006726574,94.4701382021954,2122.97823768393,1941,1834.4953939664,1968,1963.5,1618,1959.5,81.4528943060816
"2011/2012",2012,120,120,100,38.3091719729079,128.602055831416,91.8029506973635,49.5594918447256,93.0154868213613,1641.13303250753,1414.5,1302.27996239785,1507.5,1380,1289,1360.5,73.8666336861606
"2012/2013",2013,121,121,100,56.6798656146573,198.362265272841,78.2664102263662,68.0299116654094,96.2692766764181,2115.87177442619,1894.5,1743.76588097328,1961,1874,1725,1859.5,86.0748304563817
"2013/2014",2014,120,120,100,31.7755038050408,108.039148138975,96.1112229529595,46.1852877415282,93.8466306255753,1480.89401629098,1254.5,1209.92700169231,1363,1256.5,1077,1253,72.2844797861796
"2014/2015",2015,120,120,100,48.2289598327775,149.92558794176,79.0131559997325,56.9958918517723,92.432050737258,1954.18133114315,1799.5,1641.62691488867,1813,1795,1554,1771.5,80.1634607792826
"2015/2016",2016,120,120,100,42.941609750752,131.268100718953,81.866893486531,53.4525744038289,93.8117789367224,1775.82021856716,1621,1468.19636494377,1688.5,1573,1413,1569.5,78.4322377679046
"2016/2017",2017,121,121,100,44.6318972176007,157.544387664006,76.1296732968158,55.7960588032559,93.133034993079,1872.83827898413,1679.5,1529.48608236545,1739,1661,1468,1622,79.842641574201
"2017/2018",2018,120,120,100,43.9660307641408,148.803684233873,90.4778307175097,59.0389224534853,94.7922080186495,1785.50847939324,1533,1380.35457877027,1661.5,1480,1453,1470.5,75.4587793751616
"2018/2019",2019,120,120,100,45.0407580679741,127.939507933896,85.144081501754,59.3998933703833,96.178549289678,1886.45192874023,1626,1522.81002605264,1741,1638.5,1451,1625.5,81.2330131700719
"2019/2020",2020,120,120,100,43.3081832706196,142.7573153776,70.7314378470754,53.0481869058973,90.8747014852643,1932.08549974112,1757,1702.9388810335,1778.5,1817.5,1361,1778,84.2130590476022
"2020/2021",2021,121,121,100,52.8472369203904,184.905543457621,86.168366239367,69.125518383757,99.2030628595304,1924.05382703449,1629,1461.8938003764,1787.5,1553,1600,1551.5,80.0727452922724
"2021/2022",2022,120,120,100,39.0889128335429,127.912538575417,84.2322613992413,51.9153493346949,91.9585797288095,1621.61427638108,1398,1186.51884260992,1457.5,1379.5,1332,1304,71.5631594388674
"2022/2023",2023,120,120,100,49.0261723165872,145.420908560796,78.9232656696937,65.269291535994,97.2392880381756,2079.16720765848,1837,1672.81546327647,1944,1794,1674,1789,83.0389657451674
"2023/2024",2024,120,120,100,47.6645261526827,176.844831389291,66.3805171159449,56.492863523965,90.303927299174,2074.65597763452,1907.5,1788.32670177631,1941,1921.5,1576,1882,85.4380960811241
"2024/2025",2025,121,121,100,56.5895414516269,174.600865956644,80.3599322104506,67.3894043896944,97.0569039747593,2154.54827311596,1970,1792.70924074091,2006,1945.5,1771,1942,85.3698048069386
"2025/2026",2026,120,120,100,33.1564226759644,127.072107817885,102.315308867538,48.0463609627797,95.5309282645492,1455.92141338621,1182.5,1048.41666968881,1347.5,1125.5,1243,1122.5,71.6478859853351
"2026/2027",2027,120,120,100,46.3637544139462,171.220897431828,71.0061824140306,58.6435637010783,93.8416062110248,2064.94269131594,1885.5,1792.23681241208,1933.5,1891.5,1566,1879.5,86.734150306268
"2027/2028",2028,120,120,100,50.7066506459362,137.963129814973,95.0924884776795,66.3903379470318,99.9035500337458,1856.4821099687,1557,1355.69771612341,1715,1492,1628,1492,77.0636661845083
"2028/2029",2029,121,121,100,44.9970712088959,173.195424546152,77.3322318431989,57.6628770452937,94.4592621498713,1865.07338696675,1691,1472.49311475669,1745.5,1626,1500,1604.5,80.5326726631574
"2029/2030",2030,120,120,100,40.7836401314283,140.77159486244,83.7793202283188,53.9157485692724,93.9620559358127,1790.42853918517,1550.5,1475.11458312736,1630.5,1567,1285,1544.5,80.2267097329041
"2030/2031",2031,120,120,100,57.1673587371683,204.881106815569,76.9938073666158,67.0731203849306,95.1133923633115,2023.69889061995,1822,1672.08136433586,1896.5,1809.5,1598,1805,84.5902727702751
"2031/2032",2032,120,120,100,48.5276109655543,181.770109385554,70.7481425178977,57.9769634660043,92.5142535676072,2012.58980885592,1854.5,1782.75034359516,1871,1862.5,1466,1849.5,85.7617336760482
"2032/2033",2033,121,121,100,47.1915599402488,150.200563165624,92.4915425274656,61.1723365098778,98.3179098616921,1817.04804043072,1572.5,1416.37824366704,1680.5,1539.5,1491,1539.5,78.5706498164072
"2033/2034",2034,120,120,100,43.326387875812,161.868134954595,87.4917746562913,56.810640491746,93.865543081908,1752.6524930304,1514,1319.40765712654,1632,1455,1438,1426,75.2032900717486
"2034/2035",2035,120,120,100,41.2021103825205,127.556513895747,87.288087415634,53.220225548394,92.3632565474647,1679.59644740968,1449.5,1300.07159596749,1562,1440,1348,1397.5,73.7515472517534
"2035/2036",2036,120,120,100,46.7323977388079,153.55159461758,83.819466926811,57.2213744822258,92.8808533653674,1930.62132499983,1717.5,1653.76408900144,1775.5,1741.5,1428,1736,83.2199015892402
"2036/2037",2037,121,121,100,44.4877324727564,153.473945057032,88.3714215602001,61.6814782527479,98.532178256932,1832.77318656711,1509.5,1365.46954080456,1706,1470.5,1526,1452,79.1779578451751
"2037/2038",2038,120,120,100,47.430474078185,149.028116429205,80.0612083980623,58.6260908063248,93.6340369560875,1895.22373741414,1718,1572.42726957385,1792,1684.5,1499,1674,80.2608360724462
"2038/2039",2039,120,120,100,41.5440734527267,147.130573816637,69.2598615876643,50.5380134311174,90.3437204282167,2076.24675339778,1938.5,1957.55748467885,1946,1987,1435,1985.5,89.0614007204822
