"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.43422769864,172.991724851561,92.8999501236887,49.7404069842869,92.9187255585983,1571.29976048641,1361.5,1277.72681869295,1443,1362,1235,1351,73.5110311521839
"2002/2003",2003,120,120,100,41.6202484294192,157.829996892048,105.957160494599,57.8898688244408,98.5562030936269,1432.11313115447,1173,925.809047091806,1350,1058.5,1319,1057,69.5212613040913
"2003/2004",2004,120,120,100,51.642663027596,208.308393815882,86.4146872592222,73.8991297407241,103.786881236828,1760.08532162955,1435.5,1220.3676811668,1632.5,1358.5,1563,1358.5,78.4499152583755
"2004/2005",2005,121,121,100,43.6160425652542,222.365872971226,79.6060717913088,61.9159211127367,100.852145640614,1790.53962387527,1527.5,1339.49838678645,1678,1462.5,1475,1454.5,81.9029381736805
"2005/2006",2006,120,120,100,42.8035908629426,195.290486525597,94.4621866986783,57.9895286261907,96.0346763427994,1615.34134238559,1333.5,1194.16598256275,1487,1291.5,1331,1289,74.711355592898
"2006/2007",2007,120,120,100,42.4494506175327,209.879463109689,87.1392745314976,59.3821748615073,99.7631800415612,1543.14691806046,1235.5,1118.87948935539,1406.5,1198.5,1241,1192.5,72.9421596768815
"2007/2008",2008,120,120,100,37.0786451245089,157.178755936753,108.617586617218,56.857918998998,100.189276044054,1343.55273086288,1000.5,816.639506117116,1232.5,925,1150,925,62.9128474123804
"2008/2009",2009,121,121,100,50.3535892585721,250.716346779659,84.1209337760485,63.7333764326805,97.3522311628784,1752.44948719191,1502.5,1279.98288805543,1633.5,1434,1497,1407.5,75.6797064615837
"2009/2010",2010,120,120,100,49.7338022156635,216.504799874604,89.4468503338419,70.6413730065295,103.0541306723,1776.85755974476,1431.5,1179.67844109325,1655,1314,1622,1313.5,75.2145518829866
"2010/2011",2011,120,120,100,55.5326065993921,215.895751303408,91.8118451783255,71.5648415356591,101.294459849833,1735.1075939255,1424,1226.50019076539,1611.5,1360,1507,1360,73.418885591587
"2011/2012",2012,120,120,100,36.6646119711918,145.431689366617,109.987988046845,50.5542952616708,93.4017194088334,1323.76070759415,1099.5,926.589704271995,1246.5,1034.5,1123,1025,66.272682938745
"2012/2013",2013,121,121,100,43.8469080596439,196.770601887826,91.7929346162455,66.1172056245027,102.475643668153,1635.13323463157,1301.5,1126.80737276178,1517,1243.5,1420,1238,75.9583862900588
"2013/2014",2014,120,120,100,27.5259877044586,101.389523007168,113.917813358765,38.0606660521676,91.02036698653,1193.58944016172,964,905.950319628031,1079,960,953,957.5,64.5955413430256
"2014/2015",2015,120,120,100,38.1593596484211,181.439028730046,93.5381095379908,58.2786727708863,97.3966989880065,1587.92144448094,1271,1090.49489315442,1478,1189.5,1405,1176,74.9889504003097
"2015/2016",2016,120,120,100,36.6988971389613,153.137086429584,96.2772161252424,53.4908853112082,97.2648302655577,1458.40299555923,1119,1019.48351417028,1342,1073,1223,1073,69.7811455070196
"2016/2017",2017,121,121,100,41.2598751198843,178.635644002709,89.0760561031401,57.1428632038333,97.9376936312389,1545.94535437477,1268,1093.41410949883,1434.5,1219.5,1286,1198,74.4468724802623
"2017/2018",2018,120,120,100,27.4165631009759,129.971584488232,107.03594739178,46.2003508867823,95.7041382346796,1278.10952223015,1012,893.177271776231,1177.5,955.5,1074,952.5,64.6659960076786
"2018/2019",2019,120,120,100,34.2002673492384,138.239167170544,100.894997712495,53.3920815749809,98.9994152581477,1472.95703425735,1144.5,1020.50636625987,1339.5,1103,1232,1099,68.9834033486454
"2019/2020",2020,120,120,100,48.0837320770068,209.15344941982,82.1999359037086,63.7487055743145,99.3116029033861,1782.56157069873,1523.5,1296.10702363411,1649,1450.5,1514,1433.5,78.1246091918756
"2020/2021",2021,121,121,100,36.7691254091254,165.60189272051,101.576005265747,59.0277894979472,101.240863062602,1451.12511588678,1145.5,953.734608553499,1343,1066.5,1278,1066,71.198284585807
"2021/2022",2022,120,120,100,25.8247405649559,127.615050590009,100.395150822458,40.0915536453797,92.347142054057,1180.80859297742,928,794.535853923313,1054.5,918,920,868.5,62.1698980559258
"2022/2023",2023,120,120,100,35.3719102042687,160.808847353249,93.7179629430522,53.3264697862583,100.08141388056,1550.69466859537,1243.5,1104.64654460066,1446.5,1194.5,1320,1194.5,68.0119193888199
"2023/2024",2024,120,120,100,42.3016586380918,221.871407507251,77.7553674182092,60.3807096535329,99.3435474913379,1776.25055299964,1472,1320.82052020344,1658,1432.5,1447,1418,79.8660556038308
"2024/2025",2025,121,121,100,49.9372441698141,198.061308378891,94.4377215401132,72.7974933465267,104.033648067757,1758.3265698249,1390.5,1152.43521823818,1659,1297.5,1628,1297.5,78.2504655641715
"2025/2026",2026,120,120,100,24.1182300044416,120.768174743729,118.871892086061,42.2169577156726,94.4788258704057,1010.68752966015,695.5,603.193450294384,925.5,644,879,642.5,60.6720793563604
"2026/2027",2027,120,120,100,47.3598151474199,208.891836921552,82.9799940738594,63.4465682477721,100.63094070614,1743.88029419944,1435,1277.65701290844,1617,1370,1456,1368.5,78.3506126242137
"2027/2028",2028,120,120,100,36.6530981417071,128.889970930716,112.413486414662,56.4375816671145,99.9635530592736,1313.694031733,976.5,793.905093919628,1201,895.5,1216,895.5,59.3146240447272
"2028/2029",2029,121,121,100,35.2825854395373,180.880025969483,91.4415326372442,52.9240466125591,97.5986433340417,1426.45486007385,1154.5,978.769234305299,1337,1066,1171,1057,70.8283740224101
"2029/2030",2030,120,120,100,34.7520241955717,169.910207335067,98.4838146376511,50.9639779297782,97.1520557046038,1457.80013929536,1171.5,1062.88280889251,1350.5,1123.5,1240,1120,72.9415463706246
"2030/2031",2031,120,120,100,45.7476702908387,199.8357810129,89.7546066919165,66.570111824929,100.699994537821,1624.67831262399,1345.5,1149.30613127985,1522.5,1281,1396,1281,76.6343218325392
"2031/2032",2032,120,120,100,49.1709840594243,229.166493744572,82.5546988112399,66.2633386184516,100.216447751551,1765.76392184281,1465,1295.949302186,1652,1391.5,1532,1388.5,79.5770362154299
"2032/2033",2033,121,121,100,35.9906824814684,145.753841611034,109.160240779784,55.0927634514779,99.3944894409577,1349.92958675764,1032.5,874.185622246438,1250.5,965.5,1203,965.5,67.1623460899873
"2033/2034",2034,120,120,100,27.9275795704229,151.95872741296,103.605420659286,45.7517534923658,95.0207071340988,1215.88578384415,938,836.004497974602,1091.5,905.5,946,885.5,63.9464160055522
